Run Number,Min Time,Max Time,Zero Time
68452,29225.631542,29238.048877,29225.631542
68452,29538.081470,29550.474045,29538.081470
68452,29850.509842,30250.331164,29850.509842
68452,30550.386811,31053.272634,30550.386811
68452,31353.356268,31427.800189,31353.356268
68452,31528.235132,31853.595516,31528.235132
68452,32153.668575,32328.512275,32153.668575
68452,32628.554123,32703.245743,32628.554123
68452,33003.267737,33015.832267,33003.267737
68452,33315.884200,33328.482729,33315.884200
68452,33628.603778,33969.674730,33628.603778
