Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68452,438930,0.056921,29225.493517,29225.688462,1, 0, 0, 1,3.274978,-0.694187,-9.105891,-1,2
68452,438931,0.172245,29225.608841,29225.803786,1, 0, 0, 1,-3.302710,9.857960,-14.801140,-1,2
68452,438932,0.260972,29225.697568,29225.892514,1, 0, 0, 1,1.622656,5.267392,-0.591933,-1,2
68452,438933,0.277798,29225.714393,29225.909339,1, 0, 0, 1,-3.962360,4.151249,14.885824,-1,2
68452,438934,0.460014,29225.896610,29226.091556,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68452,438935,0.504753,29225.941348,29226.136294,1, 0, 0, 1,-5.096596,-0.067284,-10.548162,-1,2
68452,438936,0.512623,29225.949218,29226.144165,1, 0, 0, 1,-4.640141,5.932629,-12.318011,-1,2
68452,438937,0.744552,29226.181147,29226.376093,1, 0, 0, 1,1.254436,4.797976,3.532125,-1,2
68452,438938,0.757024,29226.193619,29226.388565,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68452,438939,0.797634,29226.234229,29226.429176,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68452,438940,0.877327,29226.313921,29226.508868,1, 0, 0, 1,3.668905,10.060585,-20.609312,-1,2
68452,438941,1.038511,29226.475106,29226.670053,1, 0, 0, 1,7.404923,1.907851,3.292156,-1,2
68452,438942,1.160260,29226.596854,29226.791801,1, 0, 0, 1,2.905069,5.810108,-3.250161,-1,2
68452,438943,1.387738,29226.824331,29227.019279,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68452,438944,1.492690,29226.929283,29227.124232,1, 0, 0, 1,0.681071,-7.407712,9.595043,-1,2
68452,438945,1.611659,29227.048252,29227.243201,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68452,438946,1.696126,29227.132719,29227.327667,1, 0, 0, 1,-2.165576,4.421788,-14.874319,-1,2
68452,438947,1.733439,29227.170032,29227.364981,1, 0, 0, 1,0.719687,5.184437,-7.229340,-1,2
68452,438948,1.758448,29227.195040,29227.389989,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68452,438949,1.763767,29227.200359,29227.395308,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68452,438950,1.767538,29227.204131,29227.399080,1, 0, 0, 1,5.042851,-0.777454,-1.077494,-1,2
68452,438951,1.805593,29227.242186,29227.437135,1, 0, 0, 1,1.791354,7.132005,15.036542,-1,2
68452,438952,1.970116,29227.406708,29227.601657,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68452,438953,2.467307,29227.903898,29228.098849,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68452,438954,2.535695,29227.972287,29228.167237,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68452,438955,2.572443,29228.009034,29228.203985,1, 0, 0, 1,0.542695,9.999981,13.429994,-1,3
68452,438956,2.617200,29228.053791,29228.248742,1, 0, 0, 1,-5.078914,7.112409,4.631197,-1,2
68452,438957,2.658243,29228.094834,29228.289785,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68452,438958,2.702573,29228.139164,29228.334115,1, 0, 0, 1,-1.123358,4.383826,-18.033003,-1,2
68452,438959,2.729502,29228.166093,29228.361044,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68452,438960,2.857147,29228.293738,29228.488689,1, 0, 0, 1,2.006790,-8.349898,-0.938904,-1,2
68452,438961,2.893044,29228.329634,29228.524585,1, 0, 0, 1,7.369349,3.832237,-20.254585,-1,2
68452,438962,2.934995,29228.371585,29228.566537,1, 1, 0, 1,0.699698,-3.324242,-3.735472,-1,2
