Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68475,579880,0.010458,36848.152612,36848.263023,1, 0, 0, 1,-5.468451,4.225983,2.656499,-1,2
68475,580752,0.003745,36933.502556,36933.613140,1, 0, 0, 1,9.419632,-3.930199,13.201274,-1,2
68475,585846,0.007249,37445.645185,37445.756804,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,586735,0.011945,37531.016819,37531.128610,1, 0, 0, 1,-1.849164,4.802343,-7.195214,-1,2
68475,591049,0.011628,37971.968498,37972.081183,1, 1, 0, 1,2.596116,1.019216,-7.820065,-1,3
68475,612315,0.003736,40200.629834,40200.747001,1, 0, 0, 1,-0.143706,-2.101130,11.339728,-1,2
68475,615566,0.003088,40542.012737,40542.130583,1, 0, 0, 1,2.474622,0.259764,-8.757608,-1,2
68475,623574,0.003354,41400.847473,41400.967019,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,624377,0.004314,41486.204135,41486.323850,1, 0, 0, 1,2.150319,6.767688,-3.657991,-1,2
68475,624378,0.008853,41486.208673,41486.328388,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
