Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68475,557660,0.098423,34489.441023,34489.546627,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557661,0.153491,34489.496091,34489.601695,1, 0, 0, 1,3.092734,-0.646445,-20.236944,-1,2
68475,557662,0.227239,34489.569839,34489.675444,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557663,0.264841,34489.607441,34489.713046,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557664,0.310790,34489.653390,34489.758994,1, 0, 0, 1,3.646595,4.045928,-16.453535,-1,2
68475,557665,0.438631,34489.781231,34489.886835,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557666,0.533319,34489.875919,34489.981523,1, 0, 0, 1,-2.758054,7.754553,18.177354,-1,2
68475,557667,0.592646,34489.935246,34490.040850,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557668,0.805805,34490.148404,34490.254009,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557669,0.874776,34490.217375,34490.322981,1, 0, 0, 1,-5.886107,0.478706,20.373874,-1,3
68475,557670,1.091754,34490.434352,34490.539958,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557671,1.376698,34490.719296,34490.824902,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557672,1.387098,34490.729696,34490.835302,1, 0, 0, 1,4.643857,-2.239632,6.309319,-1,2
68475,557673,1.552723,34490.895321,34491.000928,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557674,1.554471,34490.897068,34491.002675,1, 0, 0, 1,4.084982,-5.865676,19.620420,-1,2
68475,557675,1.554859,34490.897457,34491.003064,1, 0, 0, 1,-3.846229,-0.652902,-8.595444,-1,2
68475,557676,1.730666,34491.073263,34491.178870,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557677,1.887712,34491.230309,34491.335917,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557678,2.275227,34491.617823,34491.723432,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557679,2.407180,34491.749775,34491.855384,1, 0, 0, 1,9.314404,7.323215,0.579235,-1,2
68475,557680,2.467807,34491.810403,34491.916012,1, 0, 0, 1,2.846277,-0.531926,7.032824,-1,2
68475,557681,2.664928,34492.007524,34492.113133,1, 0, 0, 1,7.556803,3.123758,-14.160766,-1,2
68475,557682,2.703469,34492.046064,34492.151673,1, 0, 0, 1,-11.414056,-1.914484,-14.694003,-1,2
68475,557683,2.741872,34492.084467,34492.190076,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557684,2.947714,34492.290309,34492.395918,1, 0, 0, 1,-9.999981,1.093361,0.156796,-1,8
68475,557685,2.960503,34492.303098,34492.408708,1, 0, 0, 1,-1.262143,3.621371,-7.293296,-1,2
68475,557686,3.010872,34492.353467,34492.459077,1, 0, 0, 1,7.710895,5.009960,11.568489,-1,2
68475,557687,3.168171,34492.510765,34492.616375,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557688,3.255443,34492.598037,34492.703647,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557689,3.278997,34492.621591,34492.727202,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557690,3.449050,34492.791644,34492.897254,1, 0, 0, 1,-7.003210,-0.971835,-7.742720,-1,2
68475,557691,3.499349,34492.841942,34492.947553,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557692,3.545917,34492.888510,34492.994121,1, 0, 0, 1,-4.012962,1.545561,11.780650,-1,2
68475,557693,3.624598,34492.967192,34493.072803,1, 0, 0, 1,-4.511081,-1.859585,-1.208335,-1,2
68475,557694,3.741358,34493.083951,34493.189563,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557695,3.785338,34493.127931,34493.233543,1, 0, 0, 1,3.053563,-1.139324,-7.228424,-1,2
68475,557696,3.836728,34493.179321,34493.284933,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557697,3.859159,34493.201752,34493.307364,1, 0, 0, 1,-1.689579,5.651925,-17.464184,-1,2
68475,557698,3.956282,34493.298875,34493.404487,1, 0, 0, 1,7.368406,0.666168,-22.466046,-1,2
68475,557699,4.018763,34493.361355,34493.466968,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557700,4.182379,34493.524971,34493.630584,1, 0, 0, 1,-6.903947,3.471944,-3.899245,-1,2
68475,557701,4.240435,34493.583027,34493.688639,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557702,4.247860,34493.590452,34493.696065,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557703,4.259135,34493.601727,34493.707340,1, 0, 0, 1,-2.283493,9.403914,-20.544956,-1,2
68475,557704,4.311224,34493.653816,34493.759429,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557705,4.348180,34493.690772,34493.796385,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557706,4.512160,34493.854752,34493.960365,1, 0, 0, 1,5.307730,-5.472780,-20.383996,-1,2
68475,557707,4.553722,34493.896313,34494.001926,1, 0, 0, 1,0.094204,2.415371,9.985243,-1,2
68475,557708,4.681881,34494.024472,34494.130086,1, 0, 0, 1,-0.303116,-2.468042,-6.535190,-1,2
68475,557709,4.696751,34494.039342,34494.144955,1, 0, 0, 1,5.257580,-4.285394,-17.064760,-1,2
68475,557710,4.721048,34494.063639,34494.169252,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557711,4.737308,34494.079899,34494.185512,1, 0, 0, 1,-3.902467,5.459276,-6.159150,-1,2
68475,557712,5.048275,34494.390865,34494.496480,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557713,6.032804,34495.375392,34495.481008,1, 0, 0, 1,-5.725286,3.122185,-4.505806,-1,2
68475,557714,6.044499,34495.387087,34495.492703,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557715,6.141025,34495.483613,34495.589229,1, 0, 0, 1,-4.288401,7.037492,-5.142279,-1,2
68475,557716,6.219287,34495.561875,34495.667492,1, 0, 0, 1,-2.823395,7.474687,-6.167459,-1,2
68475,557717,6.286591,34495.629179,34495.734796,1, 0, 0, 1,-6.173751,-1.186044,9.744668,-1,2
68475,557718,6.419647,34495.762235,34495.867852,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557719,6.442545,34495.785133,34495.890750,1, 0, 0, 1,-0.493410,-4.713788,5.618792,-1,2
68475,557720,6.661921,34496.004508,34496.110125,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557721,6.705601,34496.048188,34496.153806,1, 0, 0, 1,-14.867338,1.460561,-14.409547,-1,2
68475,557722,6.733443,34496.076030,34496.181647,1, 0, 0, 1,4.754987,1.018598,-13.452837,-1,2
68475,557723,6.802367,34496.144954,34496.250571,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557724,7.271359,34496.613945,34496.719564,1, 0, 0, 1,-2.803613,6.021982,-5.865432,-1,2
68475,557725,7.629460,34496.972045,34497.077664,1, 0, 0, 1,0.546444,-7.950381,-10.378330,-1,2
68475,557726,7.833990,34497.176574,34497.282194,1, 0, 0, 1,-7.290127,5.247252,11.813308,-1,2
68475,557727,7.992533,34497.335117,34497.440737,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557728,8.119779,34497.462363,34497.567984,1, 0, 0, 1,-2.481597,7.480407,-8.378291,-1,2
68475,557729,8.136999,34497.479583,34497.585204,1, 0, 0, 1,-7.029073,-3.144012,7.674457,-1,2
68475,557730,8.187093,34497.529677,34497.635298,1, 0, 0, 1,2.724874,-1.366813,11.118742,-1,2
68475,557731,8.595643,34497.938226,34498.043848,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,557732,8.619709,34497.962292,34498.067914,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,557733,8.739798,34498.082380,34498.188002,1, 0, 0, 1,-3.977357,2.249709,-16.452467,-1,2
