Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68475,564005,0.029639,35160.713867,35160.820855,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,564006,0.081143,35160.765372,35160.872359,1, 0, 0, 1,-2.922311,-6.628046,15.211990,-1,2
68475,564007,0.099115,35160.783343,35160.890331,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564008,0.253268,35160.937496,35161.044483,1, 0, 0, 1,1.210307,-4.292352,-3.431362,-1,2
68475,564009,0.353475,35161.037703,35161.144691,1, 0, 0, 1,6.765188,-2.396432,5.128655,-1,2
68475,564010,0.371898,35161.056126,35161.163114,1, 0, 0, 1,-3.647282,4.211418,8.564127,-1,2
68475,564011,0.401029,35161.085257,35161.192245,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564012,0.436931,35161.121159,35161.228147,1, 0, 0, 1,1.379853,6.051422,8.284267,-1,2
68475,564013,0.504418,35161.188645,35161.295634,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564014,0.573758,35161.257985,35161.364973,1, 0, 0, 1,4.391123,1.379249,1.566905,-1,2
68475,564015,0.597594,35161.281821,35161.388809,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564016,0.643826,35161.328053,35161.435042,1, 0, 0, 1,-3.960095,0.914915,1.135181,-1,2
68475,564017,0.651423,35161.335650,35161.442638,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564018,0.657347,35161.341574,35161.448563,1, 0, 0, 1,-5.006829,1.631536,-14.711307,-1,2
68475,564019,1.108471,35161.792697,35161.899687,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564020,1.162915,35161.847141,35161.954131,1, 0, 0, 1,-3.202411,10.051242,-7.222654,-1,2
68475,564021,1.241700,35161.925926,35162.032915,1, 0, 0, 1,0.504242,2.424410,-14.227516,-1,2
68475,564022,1.340008,35162.024234,35162.131224,1, 0, 0, 1,-4.833517,-12.435711,20.784619,-1,2
68475,564023,1.512860,35162.197085,35162.304076,1, 0, 0, 1,2.860104,-9.218339,14.443529,-1,2
68475,564024,1.536788,35162.221013,35162.328004,1, 0, 0, 1,4.118845,-2.442215,-4.941574,-1,2
68475,564025,1.631386,35162.315611,35162.422601,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564026,1.713892,35162.398118,35162.505108,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,564027,1.899186,35162.583411,35162.690402,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564209,0.045955,35180.970438,35181.077467,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564210,0.085772,35181.010255,35181.117284,1, 0, 0, 1,-3.780361,-2.108141,-13.972656,-1,2
68475,564211,0.241217,35181.165700,35181.272729,1, 0, 0, 1,-1.320678,-1.341297,-3.907552,-1,2
68475,564212,0.278438,35181.202920,35181.309949,1, 0, 0, 1,-0.303984,-3.510389,4.277590,-1,2
68475,564213,0.316164,35181.240646,35181.347675,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564214,0.559994,35181.484476,35181.591506,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,564215,0.617386,35181.541868,35181.648898,1, 0, 0, 1,0.571444,-2.038265,-2.181568,-1,2
68475,564216,0.802761,35181.727243,35181.834273,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564217,0.975507,35181.899988,35182.007019,1, 0, 0, 1,8.110735,-0.064499,-0.897411,-1,2
68475,564218,1.113954,35182.038435,35182.145466,1, 0, 0, 1,-4.945363,0.009472,-17.616514,-1,2
68475,564219,1.204984,35182.129464,35182.236495,1, 0, 0, 1,1.021574,1.054761,-13.008876,-1,2
68475,564220,1.237067,35182.161547,35182.268578,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68475,564221,1.330489,35182.254969,35182.362001,1, 0, 0, 1,-2.588910,-4.146254,4.196210,-1,2
68475,564222,1.342056,35182.266536,35182.373567,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564223,1.523219,35182.447699,35182.554730,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68475,564224,1.753554,35182.678033,35182.785066,1, 0, 0, 1,8.273919,0.346722,-3.691435,-1,2
68475,564225,1.843552,35182.768032,35182.875064,1, 0, 0, 1,8.568023,1.367488,10.628316,-1,2
68475,564226,1.932899,35182.857378,35182.964410,1, 0, 0, 1,-4.042083,-4.642869,-12.485384,-1,2
68475,564357,0.113314,35197.283259,35197.390322,1, 0, 0, 1,-5.546738,2.936794,-1.047612,-1,2
68475,564358,0.154446,35197.324391,35197.431453,1, 0, 0, 1,3.336918,6.484825,-8.247274,-1,2
68475,564359,0.384046,35197.553990,35197.661053,1, 0, 0, 1,1.687118,-5.198154,-17.031652,-1,2
68475,564360,0.395508,35197.565452,35197.672515,1, 0, 0, 1,9.682073,8.086065,-3.953765,-1,2
68475,564361,0.443193,35197.613138,35197.720200,1, 0, 0, 1,5.628876,-1.090010,11.344452,-1,2
68475,564362,0.577392,35197.747336,35197.854399,1, 0, 0, 1,2.614659,-9.907364,10.427794,-1,2
