Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68481,540263,0.133410,35167.063419,35167.134229,1, 0, 0, 1,-7.771614,-0.152101,-11.599789,-1,2
68481,540264,0.159079,35167.089088,35167.159898,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,540265,0.162748,35167.092757,35167.163567,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,540266,0.332115,35167.262123,35167.332934,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,540267,0.411022,35167.341031,35167.411841,1, 0, 0, 1,1.435394,-0.978802,-9.930600,-1,2
68481,540268,0.477425,35167.407434,35167.478245,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,540269,0.510927,35167.440935,35167.511746,1, 0, 0, 1,-6.691735,-11.166451,-18.259000,-1,2
68481,540270,0.555431,35167.485440,35167.556251,1, 0, 0, 1,7.971157,1.489961,2.436978,-1,2
68481,540271,0.737947,35167.667955,35167.738766,1, 0, 0, 1,-2.751519,6.182813,-5.471282,-1,2
68481,540272,0.805163,35167.735171,35167.805983,1, 0, 0, 1,1.334435,2.255166,-17.747360,-1,2
68481,540273,0.850726,35167.780734,35167.851545,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,540274,0.936091,35167.866098,35167.936910,1, 0, 0, 1,5.538769,-0.742241,15.060480,-1,2
68481,540772,0.032047,35216.550791,35216.621710,1, 0, 0, 1,-8.079333,-0.179895,11.808416,-1,2
68481,540773,0.034538,35216.553281,35216.624201,1, 0, 0, 1,-8.504878,2.651013,-16.724822,-1,2
68481,540864,0.001557,35226.693664,35226.764606,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,541196,0.015080,35265.163669,35265.234696,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,541197,0.024401,35265.172990,35265.244017,1, 0, 0, 1,-8.311835,-0.200314,9.689801,-1,2
68481,541198,0.026091,35265.174680,35265.245707,1, 0, 0, 1,-4.413081,-4.346707,18.692520,-1,2
68481,541199,0.051578,35265.200167,35265.271193,1, 0, 0, 1,-7.222361,2.277789,0.748061,-1,2
68481,541200,0.085997,35265.234586,35265.305612,1, 0, 0, 1,1.942505,6.182382,-18.887986,-1,2
68481,541201,0.265832,35265.414421,35265.485448,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,541202,0.429297,35265.577886,35265.648913,1, 0, 0, 1,-0.402753,1.444873,-9.092912,-1,2
68481,541203,0.430768,35265.579357,35265.650384,1, 0, 0, 1,-8.733922,2.422753,12.751950,-1,2
68481,541204,0.585197,35265.733785,35265.804812,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,541205,0.709916,35265.858504,35265.929532,1, 0, 0, 1,2.492193,-7.752838,-2.353728,-1,2
68481,541206,0.716039,35265.864627,35265.935655,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,541207,0.723657,35265.872244,35265.943272,1, 0, 0, 1,-1.932688,-8.726335,-15.133789,-1,2
68481,541208,0.839305,35265.987893,35266.058921,1, 0, 0, 1,-6.829245,-4.490224,-17.381306,-1,3
68481,541209,0.865144,35266.013731,35266.084759,1, 0, 0, 1,3.051734,6.642127,-13.798316,-1,2
68481,541210,1.372133,35266.520719,35266.591748,1, 0, 0, 1,-7.557883,-6.934490,-18.218058,-1,2
68481,541211,1.419592,35266.568178,35266.639207,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,541212,1.546585,35266.695171,35266.766200,1, 0, 0, 1,-0.903847,-2.863615,-10.918027,-1,3
68481,541213,1.547522,35266.696108,35266.767138,1, 0, 0, 1,3.724584,1.806943,-8.696954,-1,2
68481,541214,1.661264,35266.809850,35266.880880,1, 0, 0, 1,-8.708154,-0.349865,5.359906,-1,2
68481,541215,1.678721,35266.827306,35266.898336,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,541216,1.767439,35266.916024,35266.987054,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,541217,2.006214,35267.154799,35267.225830,1, 0, 0, 1,-8.395595,4.998971,3.541532,-1,2
68481,541218,2.046546,35267.195130,35267.266161,1, 0, 0, 1,6.952021,0.273302,-13.946408,-1,2
68481,541219,2.093108,35267.241692,35267.312723,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,541220,2.117479,35267.266064,35267.337095,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,541221,2.131439,35267.280023,35267.351054,1, 0, 0, 1,0.156582,8.399143,-8.001024,-1,2
68481,541222,2.265315,35267.413899,35267.484931,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,541223,2.406787,35267.555371,35267.626402,1, 0, 0, 1,6.924449,7.633720,22.015551,-1,2
68481,541224,2.784125,35267.932708,35268.003740,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,541225,2.829335,35267.977918,35268.048950,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,541226,2.978935,35268.127517,35268.198550,1, 0, 0, 1,-0.932295,-6.029319,7.882977,-1,2
