Run Number,Plot Time (Time axis of TAPlot),OfficialTime (run time),SIS Channel, SIS Module,Counts
68481,0.016928099998040125,34205.3697302,3,0,1
68481,0.023503299998992588,34205.376305400001,3,0,1
68481,0.025699199999507982,34205.378501300002,6,0,1
68481,0.025699199999507982,34205.378501300002,7,0,1
68481,0.039522300001408439,34205.392324400003,3,0,2
68481,0.046126099994580727,34205.398928199997,3,0,2
68481,0.050033499996061437,34205.402835599998,6,0,1
68481,0.050033499996061437,34205.402835599998,7,0,1
68481,0.069835499998589512,34205.422637600001,3,0,2
68481,0.076239299996814225,34205.429041399999,3,0,2
68481,0.081947699996817391,34205.434749799999,3,0,1
68481,0.082046399998944253,34205.434848500001,3,0,1
68481,0.1003876999966451,34205.453189799999,3,0,2
68481,0.10411469999962719,34205.456916800002,3,0,1
68481,0.11444159999518888,34205.467243699997,3,0,2
68481,0.12733289999596309,34205.480134999998,6,0,1
68481,0.12733289999596309,34205.480134999998,7,0,1
68481,0.12876439999672584,34205.481566499999,3,0,1
68481,0.13644239999848651,34205.4892445,3,0,1
68481,0.14315899999928661,34205.495961100001,3,0,2
68481,0.16841199999907985,34205.521214100001,6,0,1
68481,0.16841199999907985,34205.521214100001,7,0,1
68481,0.17987400000129128,34205.532676100003,3,0,1
68481,0.20875320000050124,34205.561555300003,6,0,1
68481,0.20875320000050124,34205.561555300003,7,0,1
68481,0.21005959999456536,34205.562861699997,3,0,2
68481,0.24080849999882048,34205.593610600001,3,0,1
68481,0.26658129999850644,34205.619383400001,3,0,2
68481,0.28173319999768864,34205.6345353,3,0,1
68481,0.31155900000157999,34205.664361100004,3,0,1
68481,0.31746759999805363,34205.6702697,6,0,1
68481,0.31746759999805363,34205.6702697,7,0,1
68481,0.32148980000056326,34205.674291900003,6,0,1
68481,0.32148980000056326,34205.674291900003,7,0,1
68481,0.34003169999778038,34205.6928338,3,0,1
68481,0.34448880000127247,34205.697290900003,3,0,1
68481,0.34978169999521924,34205.702583799997,3,0,2
68481,0.35983229999692412,34205.712634399999,3,0,1
68481,0.37685709999641404,34205.729659199998,3,0,1
68481,0.38603950000106124,34205.738841600003,3,0,1
68481,0.38790950000111479,34205.740711600003,3,0,2
68481,0.38990149999881396,34205.742703600001,6,0,1
68481,0.38990149999881396,34205.742703600001,7,0,1
68481,0.39783349999925122,34205.750635600001,3,0,1
68481,0.40666799999598879,34205.759470099998,3,0,2
68481,0.41562949999934062,34205.768431600001,3,0,1
68481,0.43042949999653501,34205.783231599999,3,0,1
68481,0.43741379999846686,34205.7902159,3,0,2
68481,0.45134629999665776,34205.804148399999,3,0,2
68481,0.46365499999956228,34205.816457100002,3,0,1
68481,0.47027679999882821,34205.823078900001,3,0,2
68481,0.48552629999903729,34205.838328400001,3,0,2
68481,0.50982790000125533,34205.862630000003,3,0,2
68481,0.52536169999802951,34205.8781638,3,0,1
68481,0.53079759999673115,34205.883599699999,3,0,1
68481,0.54435739999462385,34205.897159499997,6,0,1
68481,0.54435739999462385,34205.897159499997,7,0,1
68481,0.55278619999444345,34205.905588299996,3,0,1
68481,0.55725420000089798,34205.910056300003,6,0,1
68481,0.55725420000089798,34205.910056300003,7,0,1
68481,0.55725420000089798,34205.910056300003,3,0,1
68481,0.56015839999599848,34205.912960499998,3,0,2
68481,0.56694250000145985,34205.919744600003,3,0,1
68481,0.57565969999996014,34205.928461800002,3,0,1
68481,0.57626289999461733,34205.929064999997,3,0,2
68481,0.58237599999847589,34205.9351781,3,0,1
68481,0.59518019999813987,34205.9479823,3,0,1
68481,0.6008058000006713,34205.953607900003,3,0,1
68481,0.60479379999742378,34205.957595899999,3,0,1
68481,0.6163377999982913,34205.9691399,3,0,1
68481,0.63881709999986924,34205.991619200002,3,0,1
68481,0.64060819999576779,34205.993410299998,3,0,1
68481,0.64308579999487847,34205.995887899997,6,0,1
68481,0.64308579999487847,34205.995887899997,7,0,1
68481,0.662404399998195,34206.0152065,3,0,1
68481,0.66256040000007488,34206.015362500002,3,0,2
68481,0.66912859999865759,34206.021930700001,3,0,2
68481,0.68576849999953993,34206.038570600002,3,0,1
68481,0.69096519999584416,34206.043767299998,3,0,2
