Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68481,530760,0.025699,34205.309783,34205.378501,1, 0, 0, 1,6.173560,0.141383,10.973470,-1,2
68481,530761,0.050034,34205.334117,34205.402836,1, 0, 0, 1,6.124747,-2.562193,-19.479519,-1,2
68481,530762,0.127333,34205.411416,34205.480135,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,530763,0.168412,34205.452495,34205.521214,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,530764,0.208753,34205.492837,34205.561555,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,530765,0.317468,34205.601551,34205.670270,1, 0, 0, 1,3.389851,2.836711,-10.527204,-1,2
68481,530766,0.321490,34205.605573,34205.674292,1, 0, 0, 1,-5.776743,-0.920915,-16.393563,-1,2
68481,530767,0.389902,34205.673984,34205.742704,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,530768,0.544357,34205.828440,34205.897159,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68481,530769,0.557255,34205.841337,34205.910057,1, 0, 0, 1,1.776564,-8.518534,-13.326308,-1,2
68481,530770,0.643086,34205.927168,34205.995888,1, 0, 0, 1,8.582627,7.295914,-4.859284,-1,2
68481,530771,0.916094,34206.200176,34206.268896,1, 0, 0, 1,-7.109511,1.232503,-1.059992,-1,2
68481,530772,0.945297,34206.229379,34206.298099,1, 0, 0, 1,1.276175,-3.012345,-17.489029,-1,2
68481,530773,0.978167,34206.262249,34206.330969,1, 0, 0, 1,-5.247875,4.238730,22.381612,-1,2
68481,530774,1.140503,34206.424584,34206.493305,1, 0, 0, 1,0.418727,-0.178720,-6.485479,-1,2
68481,530775,1.143791,34206.427872,34206.496593,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68481,530776,1.443682,34206.727763,34206.796484,1, 0, 0, 1,0.214993,-7.703313,-17.683485,-1,2
68481,530777,1.484772,34206.768852,34206.837574,1, 0, 0, 1,-3.303703,3.264562,12.194618,-1,2
68481,530778,1.506233,34206.790313,34206.859035,1, 0, 0, 1,7.471420,4.221420,2.301601,-1,2
68481,530779,1.651791,34206.935872,34207.004593,1, 1, 0, 1,-0.330892,1.362741,15.240409,-1,2
68481,530780,1.659521,34206.943601,34207.012323,1, 0, 0, 1,-0.383060,-4.124031,6.915956,-1,2
68481,530781,1.681484,34206.965564,34207.034286,1, 0, 0, 1,2.737757,6.427665,-4.919492,-1,2
68481,530782,1.705158,34206.989238,34207.057960,1, 0, 0, 1,5.741221,4.927797,5.049395,-1,2
68481,530783,1.730427,34207.014507,34207.083229,1, 0, 0, 1,-4.345806,1.425657,-13.067046,-1,2
68481,530784,1.982627,34207.266706,34207.335429,1, 0, 0, 1,-3.173894,-6.026835,20.504963,-1,2
68481,530785,2.158990,34207.443069,34207.511792,1, 0, 0, 1,-3.177218,1.077694,10.697314,-1,2
68481,530786,2.263417,34207.547496,34207.616219,1, 0, 0, 1,-6.687085,-3.031169,-11.218180,-1,2
68481,530787,2.312544,34207.596622,34207.665346,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
