Run Number,Plot Time (Time axis of TAPlot),OfficialTime (run time),SIS Channel, SIS Module,Counts
68481,0.010964399996737484,35178.146060599996,3,0,2
68481,0.014176999997289386,35178.149273199997,3,0,1
68481,0.017546399998536799,35178.152642599998,3,0,2
68481,0.020603999997547362,35178.155700199997,3,0,1
68481,0.031093899997358676,35178.166190099997,3,0,2
68481,0.075423800000862684,35178.210520000001,6,0,1
68481,0.075423800000862684,35178.210520000001,7,0,1
68481,0.092115999999805354,35178.227212199999,3,0,2
68481,0.092983000002277549,35178.228079200002,3,0,2
68481,0.11006829999678303,35178.245164499996,3,0,1
68481,0.11538039999868488,35178.250476599998,3,0,1
68481,0.115869000001112,35178.250965200001,3,0,1
68481,0.14568590000271797,35178.280782100002,3,0,2
68481,0.14732070000172826,35178.282416900001,6,0,1
68481,0.14732070000172826,35178.282416900001,7,0,1
68481,0.15276769999763928,35178.287863899997,3,0,1
68481,0.15294610000273678,35178.288042300002,3,0,2
68481,0.17156899999827147,35178.306665199998,3,0,1
68481,0.17787059999682242,35178.312966799997,6,0,1
68481,0.17787059999682242,35178.312966799997,7,0,1
68481,0.18458149999787565,35178.319677699998,3,0,1
68481,0.18569420000130776,35178.320790400001,3,0,1
68481,0.18960890000016661,35178.3247051,3,0,1
68481,0.19476880000001984,35178.329865,3,0,1
68481,0.20923729999776697,35178.344333499997,3,0,2
68481,0.21421030000055907,35178.3493065,6,0,1
68481,0.21421030000055907,35178.3493065,7,0,1
68481,0.23412559999997029,35178.3692218,6,0,1
68481,0.23412559999997029,35178.3692218,7,0,1
68481,0.23663970000052359,35178.3717359,3,0,1
68481,0.23670580000180053,35178.371802000001,3,0,1
68481,0.24330200000258628,35178.378398200002,3,0,1
68481,0.24845859999913955,35178.383554799999,3,0,1
68481,0.25088949999917531,35178.385985699999,6,0,1
68481,0.25088949999917531,35178.385985699999,7,0,1
68481,0.26542000000335975,35178.400516200003,3,0,1
68481,0.27938849999918602,35178.414484699999,3,0,1
68481,0.3218371000039042,35178.456933300004,3,0,1
68481,0.33008659999904921,35178.465182799999,3,0,2
68481,0.33857690000149887,35178.473673100001,3,0,2
68481,0.36139459999685641,35178.496490799997,3,0,2
68481,0.36770809999870835,35178.502804299998,6,0,1
68481,0.36770809999870835,35178.502804299998,7,0,1
68481,0.37061459999677027,35178.505710799996,3,0,1
68481,0.38257159999920987,35178.517667799999,3,0,2
68481,0.38265710000268882,35178.517753300002,3,0,1
68481,0.40746950000175275,35178.542565700001,3,0,2
68481,0.40771590000076685,35178.5428121,3,0,1
68481,0.42026790000090841,35178.555364100001,6,0,1
68481,0.42026790000090841,35178.555364100001,7,0,1
68481,0.43241329999727895,35178.567509499997,3,0,1
68481,0.4446207000000868,35178.5797169,3,0,2
68481,0.46275559999776306,35178.597851799997,3,0,1
68481,0.46276100000250153,35178.597857200002,3,0,2
68481,0.46661989999847719,35178.601716099998,3,0,1
68481,0.48790680000092834,35178.623003000001,3,0,1
68481,0.49145470000075875,35178.6265509,3,0,2
68481,0.50123339999845484,35178.636329599998,3,0,2
68481,0.52489079999941168,35178.659986999999,3,0,1
68481,0.54274660000373842,35178.677842800003,3,0,1
68481,0.57053630000154953,35178.705632500001,3,0,1
68481,0.57985909999842988,35178.714955299998,3,0,1
68481,0.58280209999793442,35178.717898299998,3,0,1
68481,0.58564119999937247,35178.720737399999,3,0,2
68481,0.5867493999976432,35178.721845599997,3,0,2
68481,0.5957429999980377,35178.730839199998,6,0,1
68481,0.5957429999980377,35178.730839199998,7,0,1
68481,0.59584490000270307,35178.730941100002,3,0,1
68481,0.62619470000208821,35178.761290900002,3,0,1
68481,0.62742199999775039,35178.762518199997,3,0,1
68481,0.65602609999768902,35178.791122299997,3,0,1
68481,0.69358500000089407,35178.828681200001,3,0,2
68481,0.71706100000301376,35178.852157200003,3,0,1
68481,0.72920090000116033,35178.864297100001,3,0,1
68481,0.74846689999685623,35178.883563099997,3,0,2
68481,0.76997560000017984,35178.9050718,3,0,1
68481,0.87943349999841303,35179.014529699998,3,0,1
68481,0.88548930000251858,35179.020585500002,3,0,1
68481,0.89690249999694061,35179.031998699997,3,0,1
68481,0.90124520000244956,35179.036341400002,3,0,2
68481,0.90700639999704435,35179.042102599997,3,0,1
68481,0.90948380000190809,35179.044580000002,6,0,1
68481,0.90948380000190809,35179.044580000002,7,0,1
68481,0.91034409999701893,35179.045440299997,3,0,1
68481,0.933900399999402,35179.068996599999,6,0,1
68481,0.933900399999402,35179.068996599999,7,0,1
68481,0.95492899999953806,35179.090025199999,3,0,1
68481,0.95525749999796972,35179.090353699998,3,0,1
68481,0.95677070000238018,35179.091866900002,3,0,2
68481,0.9794398000012734,35179.114536000001,3,0,2
68481,0.98860229999991134,35179.1236985,3,0,1
68481,0.99291180000000168,35179.128008,3,0,1
68481,1.0079232999996748,35179.143019499999,3,0,1
68481,1.0153570000038599,35179.150453200004,3,0,1
68481,1.0391386999981478,35179.174234899998,3,0,2
68481,1.0518885999990744,35179.186984799999,3,0,1
68481,1.097325800001272,35179.232422000001,3,0,1
68481,1.1006206000020029,35179.235716800002,3,0,2
68481,1.1257738999993308,35179.260870099999,3,0,1
68481,1.1436065000016242,35179.278702700001,3,0,1
68481,1.1624062999981106,35179.297502499998,3,0,2
68481,1.1834215999988373,35179.318517799999,3,0,1
68481,1.2055926000030013,35179.340688800003,3,0,1
68481,1.2190068999989307,35179.354103099999,6,0,1
68481,1.2190068999989307,35179.354103099999,7,0,1
68481,1.2190068999989307,35179.354103099999,3,0,1
68481,1.22492179999972,35179.360017999999,3,0,1
68481,1.2390535000013188,35179.374149700001,6,0,1
68481,1.2390535000013188,35179.374149700001,7,0,1
68481,1.2564884000021266,35179.391584600002,3,0,1
68481,1.2586687000002712,35179.3937649,6,0,1
68481,1.2586687000002712,35179.3937649,7,0,1
68481,1.2627472000021953,35179.397843400002,3,0,2
68481,1.2811583000002429,35179.4162545,3,0,1
68481,1.2973578000019188,35179.432454000002,6,0,1
68481,1.2973578000019188,35179.432454000002,7,0,1
68481,1.3036409999986063,35179.438737199998,3,0,1
68481,1.3252984999999171,35179.4603947,3,0,2
68481,1.3328364999979385,35179.467932699998,3,0,1
68481,1.3406423999986146,35179.475738599998,3,0,2
68481,1.3623477000001003,35179.4974439,3,0,1
68481,1.3809790000013891,35179.516075200001,3,0,2
68481,1.3991478000025381,35179.534244000002,3,0,1
68481,1.4168697999994038,35179.551965999999,3,0,2
68481,1.4185834000018076,35179.553679600001,3,0,1
68481,1.4559564000010141,35179.591052600001,3,0,2
68481,1.4717888000013772,35179.606885000001,3,0,2
68481,1.5017703999983496,35179.636866599998,3,0,2
68481,1.5142148000013549,35179.649311000001,3,0,1
68481,1.5269696999966982,35179.662065899996,3,0,1
68481,1.5270080999980564,35179.662104299998,3,0,1
68481,1.5352846000023419,35179.670380800002,3,0,2
68481,1.5364977999997791,35179.671593999999,3,0,2
68481,1.5581059000032838,35179.693202100003,3,0,1
68481,1.5636242999971728,35179.698720499997,3,0,1
68481,1.5916595000016969,35179.726755700001,3,0,1
68481,1.5934055999969132,35179.728501799997,3,0,1
68481,1.6080403000014485,35179.743136500001,3,0,2
68481,1.6142073000009987,35179.749303500001,3,0,2
68481,1.620824999998149,35179.755921199998,3,0,2
68481,1.6278782000008505,35179.762974400001,3,0,1
68481,1.6487062000014703,35179.783802400001,3,0,1
68481,1.6548254000008455,35179.789921600001,3,0,2
68481,1.6586787999985972,35179.793774999998,3,0,2
68481,1.6680928999994649,35179.803189099999,3,0,1
68481,1.6709455000018352,35179.806041700002,3,0,1
68481,1.6728551999985939,35179.807951399998,3,0,1
68481,1.6914638000016566,35179.826560000001,3,0,1
68481,1.6919422999999369,35179.8270385,3,0,2
68481,1.6981325000015204,35179.833228700001,3,0,1
68481,1.7028916999988724,35179.837987899999,3,0,2
68481,1.7090137999985018,35179.844109999998,3,0,1
68481,1.7129889999996522,35179.848085199999,3,0,1
68481,1.7160655999978189,35179.851161799997,3,0,2
68481,1.7247592999992776,35179.859855499999,3,0,1
68481,1.739589500000875,35179.874685700001,3,0,1
68481,1.7417340000029071,35179.876830200003,3,0,1
68481,1.762256800000614,35179.897353,3,0,2
68481,1.7644882000022335,35179.899584400002,3,0,1
68481,1.7983852000033949,35179.933481400003,3,0,1
68481,1.806704800001171,35179.941801000001,3,0,1
68481,1.8242228000017349,35179.959319000001,3,0,1
68481,1.8319287999984226,35179.967024999998,3,0,2
68481,1.8363417000000481,35179.9714379,3,0,1
68481,1.8401796000034665,35179.975275800003,3,0,1
68481,1.8458890000038082,35179.980985200003,3,0,2
68481,1.8827527000030386,35180.017848900003,3,0,2
68481,1.8868799999982002,35180.021976199998,3,0,1
68481,1.887062200003129,35180.022158400003,3,0,2
68481,1.8878102000016952,35180.022906400001,3,0,2
68481,1.8893234999995911,35180.024419699999,3,0,2
68481,1.8894318000020576,35180.024528000002,3,0,1
68481,1.8929188000038266,35180.028015000004,3,0,1
68481,1.9023680000027525,35180.037464200002,3,0,2
68481,1.9126060999988113,35180.047702299998,3,0,2
68481,1.9171545999997761,35180.052250799999,3,0,1
68481,1.929267899999104,35180.064364099999,6,0,1
68481,1.929267899999104,35180.064364099999,7,0,1
68481,1.9642892999981996,35180.099385499998,3,0,2
68481,1.9807618999984697,35180.115858099998,3,0,2
68481,1.9943473000021186,35180.129443500002,3,0,2
68481,2.0076425000006566,35180.1427387,3,0,1
68481,0.00026079999952344224,35200.399685199998,3,0,1
68481,0.009306699997978285,35200.408731099997,3,0,1
68481,0.017907900000864174,35200.4173323,3,0,1
68481,0.017961700003070291,35200.417386100002,3,0,1
68481,0.029014500003540888,35200.428438900002,3,0,2
68481,0.037190000002738088,35200.436614400001,3,0,1
68481,0.039543300001241732,35200.4389677,3,0,2
68481,0.050367199997708667,35200.449791599996,3,0,1
68481,0.063785300000745337,35200.463209699999,3,0,2
68481,0.066699900002276991,35200.466124300001,3,0,2
68481,0.074802000002819113,35200.474226400001,3,0,2
68481,0.076203600001463201,35200.475628,3,0,1
68481,0.085014500000397675,35200.484438899999,3,0,1
68481,0.089477400004398078,35200.488901800003,3,0,2
68481,0.090953700004320126,35200.490378100003,3,0,1
68481,0.10121739999885904,35200.500641799998,3,0,1
68481,0.10495770000125049,35200.5043821,3,0,1
68481,0.12839810000150464,35200.5278225,3,0,2
68481,0.15434439999808092,35200.553768799997,3,0,1
68481,0.1726903000017046,35200.5721147,3,0,1
68481,0.18608830000448506,35200.585512700003,3,0,1
68481,0.19349679999868385,35200.592921199997,3,0,1
68481,0.2026144999981625,35200.602038899997,3,0,1
68481,0.21058220000122674,35200.6100066,3,0,2
68481,0.21342200000071898,35200.612846399999,3,0,2
68481,0.22424139999930048,35200.623665799998,3,0,1
68481,0.22745830000349088,35200.626882700002,3,0,1
68481,0.23829590000241296,35200.637720300001,3,0,2
68481,0.25705120000202442,35200.656475600001,6,0,1
68481,0.25705120000202442,35200.656475600001,7,0,1
68481,0.26270289999956731,35200.662127299998,3,0,2
68481,0.29012730000249576,35200.689551700001,6,0,1
68481,0.29012730000249576,35200.689551700001,7,0,1
68481,0.30026499999803491,35200.699689399997,3,0,1
68481,0.31257120000373106,35200.711995600002,3,0,1
68481,0.32462500000110595,35200.7240494,3,0,2
68481,0.32851949999894714,35200.727943899998,3,0,1
68481,0.32993279999936931,35200.729357199998,3,0,2
68481,0.34821350000129314,35200.7476379,3,0,1
68481,0.3533328999983496,35200.752757299997,3,0,2
68481,0.35806310000043595,35200.757487499999,3,0,1
68481,0.37839460000395775,35200.777819000003,3,0,1
68481,0.3806274000016856,35200.7800518,3,0,2
68481,0.38833680000243476,35200.787761200001,3,0,2
68481,0.39330250000057276,35200.792726899999,6,0,1
68481,0.39330250000057276,35200.792726899999,7,0,1
68481,0.40966370000387542,35200.809088100003,3,0,2
68481,0.41943149999860907,35200.818855899997,3,0,2
68481,0.42688289999932749,35200.826307299998,3,0,1
68481,0.43611600000440376,35200.835540400003,3,0,1
68481,0.44376980000379262,35200.843194200002,3,0,1
68481,0.4566084000034607,35200.856032800002,3,0,1
68481,0.46206740000343416,35200.861491800002,3,0,1
68481,0.47193369999877177,35200.871358099997,3,0,2
68481,0.47819990000425605,35200.877624300003,3,0,1
68481,0.48830450000241399,35200.887728900001,3,0,1
68481,0.48957440000231145,35200.888998800001,3,0,2
68481,0.4934888999996474,35200.892913299998,3,0,1
68481,0.50164960000256542,35200.901074000001,3,0,2
68481,0.51085920000332408,35200.910283600002,3,0,1
68481,0.52290920000086771,35200.9223336,3,0,1
68481,0.52835320000303909,35200.927777600002,3,0,1
68481,0.54749399999855086,35200.946918399997,3,0,2
68481,0.56189720000111265,35200.9613216,3,0,1
68481,0.5705013000042527,35200.969925700003,3,0,2
68481,0.58505239999794867,35200.984476799997,6,0,1
68481,0.58505239999794867,35200.984476799997,7,0,1
68481,0.59060310000495519,35200.990027500004,3,0,2
68481,0.59690850000333739,35200.996332900002,3,0,1
68481,0.60196459999860963,35201.001388999997,3,0,2
68481,0.609234399998968,35201.008658799998,3,0,1
68481,0.60934190000261879,35201.008766300001,3,0,1
68481,0.62269100000412436,35201.022115400003,3,0,2
68481,0.63805149999825517,35201.037475899997,3,0,1
68481,0.64512790000298992,35201.044552300002,3,0,1
68481,0.64835740000125952,35201.0477818,3,0,2
68481,0.65801820000342559,35201.057442600002,3,0,1
68481,0.69110619999992196,35201.090530599999,3,0,2
68481,0.7045362999997451,35201.103960699998,6,0,1
68481,0.7045362999997451,35201.103960699998,7,0,1
68481,0.70984950000274694,35201.109273900001,3,0,1
68481,0.7099443000042811,35201.109368700003,3,0,1
68481,0.71052230000350391,35201.109946700002,3,0,2
68481,0.71912400000292109,35201.118548400002,6,0,1
68481,0.71912400000292109,35201.118548400002,7,0,1
68481,0.72448399999848334,35201.123908399997,6,0,1
68481,0.72448399999848334,35201.123908399997,7,0,1
68481,0.72651259999838658,35201.125936999997,3,0,1
68481,0.73951250000391155,35201.138936900003,3,0,1
68481,0.76112020000437042,35201.160544600003,3,0,1
68481,0.77188749999913853,35201.171311899998,3,0,1
68481,0.77635759999975562,35201.175781999998,3,0,1
68481,0.79839870000432711,35201.197823100003,3,0,1
68481,0.81568410000181757,35201.2151085,3,0,2
68481,0.81587769999896409,35201.215302099998,3,0,2
68481,0.81841610000265064,35201.217840500001,6,0,1
68481,0.81841610000265064,35201.217840500001,7,0,1
68481,0.81936140000470914,35201.218785800003,3,0,1
68481,0.83226200000353856,35201.231686400002,3,0,1
68481,0.8325263000006089,35201.231950699999,3,0,2
68481,0.84385769999789773,35201.243282099997,3,0,2
68481,0.85549870000249939,35201.254923100001,3,0,1
68481,0.8556901000047219,35201.255114500003,3,0,1
68481,0.85861750000185566,35201.258041900001,3,0,1
68481,0.86644370000431081,35201.265868100003,3,0,1
68481,0.8980639000001247,35201.297488299999,3,0,2
68481,0.90714590000425233,35201.306570300003,3,0,1
68481,0.90886350000073435,35201.308287899999,3,0,2
68481,0.9131037000042852,35201.312528100003,3,0,1
68481,0.91377220000140369,35201.3131966,3,0,2
68481,0.91645380000409205,35201.315878200003,3,0,1
68481,0.91682700000092154,35201.3162514,6,0,1
68481,0.91682700000092154,35201.3162514,7,0,1
68481,0.9199060000028112,35201.319330400001,6,0,1
68481,0.9199060000028112,35201.319330400001,7,0,1
68481,0.9199060000028112,35201.319330400001,3,0,2
68481,0.93207380000239937,35201.331498200001,3,0,2
68481,0.93887030000041705,35201.338294699999,6,0,1
68481,0.93887030000041705,35201.338294699999,7,0,1
68481,0.94823030000407016,35201.347654700003,3,0,1
68481,0.95481200000358513,35201.354236400002,3,0,2
68481,0.98236919999908423,35201.381793599998,3,0,2
68481,0.98317640000459505,35201.382600800003,6,0,1
68481,0.98317640000459505,35201.382600800003,7,0,1
68481,0.99198279999836814,35201.391407199997,3,0,1
68481,0.99594140000408515,35201.395365800003,3,0,2
68481,0.99818220000452129,35201.397606600003,3,0,2
68481,1.0211467999979504,35201.420571199997,3,0,1
68481,1.0257624000005308,35201.425186799999,3,0,2
68481,1.0287174000040977,35201.428141800003,3,0,2
68481,1.0513935999988462,35201.450817999998,3,0,2
68481,1.0540323000022909,35201.453456700001,3,0,2
68481,1.0564357000039308,35201.455860100003,3,0,2
68481,1.0796074000027147,35201.479031800001,3,0,2
68481,1.0815091000040411,35201.480933500003,6,0,1
68481,1.0815091000040411,35201.480933500003,7,0,1
68481,1.0819724000029964,35201.481396800002,3,0,1
68481,1.1011594000010518,35201.5005838,3,0,2
68481,1.1213486999986344,35201.520773099997,3,0,2
68481,1.127952800001367,35201.5273772,3,0,1
68481,1.1328401999999187,35201.532264599999,3,0,1
68481,1.1341735000023618,35201.533597900001,3,0,2
68481,1.1343969000008656,35201.5338213,3,0,2
68481,1.1390497000029427,35201.538474100002,6,0,1
68481,1.1390497000029427,35201.538474100002,7,0,1
68481,1.1422944000005373,35201.541718799999,3,0,1
68481,1.1761392000043998,35201.575563600003,6,0,1
68481,1.1761392000043998,35201.575563600003,7,0,1
68481,1.1793980000002193,35201.578822399999,3,0,1
68481,1.1999744999993709,35201.599398899998,3,0,2
68481,1.2010960999978124,35201.600520499996,3,0,2
68481,1.2051382999998168,35201.604562699998,3,0,2
68481,1.2169970000031753,35201.616421400002,3,0,1
68481,1.2201593999998295,35201.619583799999,3,0,1
68481,1.2231018000020413,35201.622526200001,3,0,1
68481,1.2540264999988722,35201.653450899998,3,0,2
68481,1.2549728000012692,35201.6543972,3,0,1
68481,1.2580520999981673,35201.657476499997,3,0,2
68481,1.2580944000001182,35201.657518799999,3,0,1
68481,1.2718647000001511,35201.671289099999,6,0,1
68481,1.2718647000001511,35201.671289099999,7,0,1
68481,1.2750854000041727,35201.674509800003,3,0,1
68481,1.2917939000035403,35201.691218300002,3,0,1
68481,1.3124339999994845,35201.711858399998,3,0,1
68481,1.3165614000026835,35201.715985800001,3,0,1
68481,1.3269508000012138,35201.7263752,3,0,1
68481,1.3452619000017876,35201.7446863,3,0,2
68481,1.3507093000007444,35201.750133699999,6,0,1
68481,1.3507093000007444,35201.750133699999,7,0,1
68481,1.35469159999775,35201.754115999996,3,0,2
68481,1.3643415000042296,35201.763765900003,3,0,1
68481,1.3659732000014628,35201.7653976,3,0,2
68481,1.3672781999994186,35201.766702599998,3,0,1
68481,1.3808506999994279,35201.780275099998,3,0,2
68481,1.3859700000029989,35201.785394400002,3,0,1
68481,1.3949206000033882,35201.794345000002,3,0,1
68481,1.3975456000043778,35201.796970000003,3,0,2
68481,1.4004671000002418,35201.799891499999,3,0,2
68481,1.4134636000017053,35201.812888,3,0,2
68481,1.4279263999997056,35201.827350799998,3,0,1
68481,1.4353841999982251,35201.834808599997,6,0,1
68481,1.4353841999982251,35201.834808599997,7,0,1
68481,1.4354423000040697,35201.834866700003,3,0,1
68481,1.4519990000044345,35201.851423400003,3,0,2
68481,1.4730135999998311,35201.872437999999,3,0,1
68481,1.485108200002287,35201.884532600001,3,0,1
68481,1.4861051999978372,35201.885529599997,3,0,1
68481,1.486628099999507,35201.886052499998,3,0,1
68481,1.4888328000015463,35201.8882572,3,0,1
68481,1.5062107999983709,35201.905635199997,3,0,1
68481,1.5078597000028822,35201.907284100002,3,0,2
68481,1.5298075000027893,35201.929231900001,6,0,1
68481,1.5298075000027893,35201.929231900001,7,0,1
68481,1.5349086999995052,35201.934333099998,3,0,2
68481,1.5677441000007093,35201.967168499999,3,0,1
68481,1.5873546000002534,35201.986778999999,3,0,1
68481,1.5976799999989453,35201.997104399998,3,0,1
68481,1.6133533000029274,35202.012777700002,3,0,1
68481,1.6238575000024866,35202.023281900001,3,0,2
68481,1.6251138000006904,35202.024538199999,3,0,2
68481,1.6325683000031859,35202.031992700002,3,0,1
68481,1.6512580999988131,35202.050682499997,6,0,1
68481,1.6512580999988131,35202.050682499997,7,0,1
68481,1.6664043999990099,35202.065828799998,3,0,1
68481,1.6717338000016753,35202.0711582,6,0,1
68481,1.6717338000016753,35202.0711582,7,0,1
68481,1.6938045999995666,35202.093228999998,3,0,2
68481,1.6990822000007029,35202.098506599999,3,0,1
68481,1.7024315000016941,35202.1018559,3,0,2
68481,1.7046496000039042,35202.104074000003,3,0,1
68481,1.7101704000015161,35202.1095948,3,0,2
68481,1.7110103000013623,35202.1104347,3,0,1
68481,1.7139510999986669,35202.113375499997,3,0,2
68481,1.7160338000030606,35202.115458200002,3,0,1
68481,1.7589645000043674,35202.158388900003,6,0,1
68481,1.7589645000043674,35202.158388900003,7,0,1
68481,1.791439900000114,35202.190864299999,3,0,2
68481,1.8041480000028969,35202.203572400002,3,0,2
68481,1.8120157000012114,35202.2114401,3,0,1
68481,1.8191305000000284,35202.218554899999,3,0,2
68481,1.8317898000022979,35202.231214200001,3,0,1
68481,1.834864500000549,35202.234288899999,3,0,1
68481,1.8484382000024198,35202.247862600001,3,0,1
68481,1.8514896999986377,35202.250914099997,3,0,2
