Run Number,Min Time,Max Time,Zero Time
68481,35188.255245,35190.277275,35188.255245
68481,35214.567633,35216.589663,35214.567633
68481,35236.885198,35238.907228,35236.885198
68481,35263.197586,35265.219616,35263.197586
68481,35297.875551,35299.897580,35297.875551
68481,35324.187938,35326.209968,35324.187938
68481,35346.505431,35348.527460,35346.505431
68481,35372.817818,35374.839848,35372.817818
68481,35439.846150,35441.868179,35439.846150
68481,35466.158537,35468.180567,35466.158537
68481,35488.475955,35490.497985,35488.475955
68481,35514.788343,35516.810372,35514.788343
68481,35549.513144,35551.535174,35549.513144
68481,35575.825532,35577.847561,35575.825532
68481,35598.143056,35600.165086,35598.143056
68481,35624.455444,35626.477473,35624.455444
68481,37977.923557,37979.945587,37977.923557
68481,38004.235945,38006.257974,38004.235945
68481,38026.553489,38028.575519,38026.553489
68481,38052.865876,38054.887906,38052.865876
68481,38087.555252,38089.577282,38087.555252
68481,38113.867640,38115.889670,38113.867640
68481,38136.185190,38138.207220,38136.185190
68481,38162.497577,38164.519607,38162.497577
68481,38197.206043,38199.228073,38197.206043
68481,38223.518430,38225.540460,38223.518430
68481,38245.836025,38247.858055,38245.836025
68481,38272.148413,38274.170442,38272.148413
68481,38306.849150,38308.871180,38306.849150
68481,38333.161537,38335.183567,38333.161537
68481,38355.478969,38357.500999,38355.478969
68481,38381.791357,38383.813387,38381.791357
68481,38416.509486,38418.531516,38416.509486
68481,38442.821873,38444.843903,38442.821873
68481,38465.139324,38467.161354,38465.139324
68481,38491.451712,38493.473741,38491.451712
68481,38526.128181,38528.150211,38526.128181
68481,38552.440568,38554.462598,38552.440568
68481,38574.758120,38576.780149,38574.758120
68481,38601.070507,38603.092537,38601.070507
68481,38635.778420,38637.800450,38635.778420
68481,38662.090807,38664.112837,38662.090807
68481,38684.408339,38686.430369,38684.408339
68481,38710.720727,38712.742756,38710.720727
68481,38745.437567,38747.459597,38745.437567
68481,38771.749954,38773.771984,38771.749954
68481,38794.067448,38796.089478,38794.067448
68481,38820.379836,38822.401865,38820.379836
68481,38855.120248,38857.142278,38855.120248
68481,38881.432636,38883.454666,38881.432636
68481,38903.750210,38905.772240,38903.750210
68481,38930.062597,38932.084627,38930.062597
68481,38964.788905,38966.810935,38964.788905
68481,38991.101293,38993.123323,38991.101293
68481,39013.418652,39015.440682,39013.418652
68481,39039.731039,39041.753069,39039.731039
68481,39295.716040,39297.738070,39295.716040
68481,39322.028428,39324.050457,39322.028428
68481,39344.345979,39346.368009,39344.345979
68481,39370.658366,39372.680396,39370.658366
68481,39405.375049,39407.397079,39405.375049
68481,39431.687436,39433.709466,39431.687436
68481,39454.005096,39456.027126,39454.005096
68481,39480.317483,39482.339513,39480.317483
68481,39515.006299,39517.028329,39515.006299
68481,39541.318686,39543.340716,39541.318686
68481,39563.636349,39565.658379,39563.636349
68481,39589.948737,39591.970767,39589.948737
68481,39624.648021,39626.670051,39624.648021
68481,39650.960409,39652.982439,39650.960409
68481,39673.277839,39675.299869,39673.277839
68481,39699.590227,39701.612256,39699.590227
68481,39734.290488,39736.312518,39734.290488
68481,39760.602875,39762.624905,39760.602875
68481,39782.920385,39784.942415,39782.920385
68481,39809.232772,39811.254802,39809.232772
68481,39843.955637,39845.977667,39843.955637
68481,39870.268024,39872.290054,39870.268024
68481,39892.585497,39894.607527,39892.585497
68481,39918.897885,39920.919915,39918.897885
68481,39953.593718,39955.615747,39953.593718
68481,39979.906105,39981.928135,39979.906105
68481,40002.223565,40004.245595,40002.223565
68481,40028.535952,40030.557982,40028.535952
68481,40063.243996,40065.266026,40063.243996
68481,40089.556383,40091.578413,40089.556383
68481,40111.873794,40113.895824,40111.873794
68481,40138.186181,40140.208211,40138.186181
68481,40172.894034,40174.916063,40172.894034
68481,40199.206421,40201.228451,40199.206421
68481,40221.523786,40223.545816,40221.523786
68481,40247.836173,40249.858203,40247.836173
68481,40282.537442,40284.559471,40282.537442
68481,40308.849829,40310.871859,40308.849829
68481,40331.167226,40333.189256,40331.167226
68481,40357.479613,40359.501643,40357.479613
68481,40629.717165,40631.739195,40629.717165
68481,40656.029553,40658.051583,40656.029553
68481,40678.347049,40680.369079,40678.347049
68481,40704.659436,40706.681466,40704.659436
68481,40739.383999,40741.406029,40739.383999
68481,40765.696386,40767.718416,40765.696386
68481,40788.013923,40790.035952,40788.013923
68481,40814.326310,40816.348340,40814.326310
68481,40849.040749,40851.062778,40849.040749
68481,40875.353136,40877.375166,40875.353136
68481,40897.670741,40899.692770,40897.670741
68481,40923.983128,40926.005158,40923.983128
68481,40958.697638,40960.719668,40958.697638
68481,40985.010026,40987.032055,40985.010026
68481,41007.327652,41009.349682,41007.327652
