Run Number,Min Time,Max Time,Zero Time
68481,35190.279275,35192.301305,35190.279275
68481,35212.543603,35214.565633,35212.543603
68481,35238.909228,35240.931258,35238.909228
68481,35261.173556,35263.195586,35261.173556
68481,35299.899580,35301.921610,35299.899580
68481,35322.163908,35324.185938,35322.163908
68481,35348.529460,35350.551490,35348.529460
68481,35370.793788,35372.815818,35370.793788
68481,35441.870179,35443.892209,35441.870179
68481,35464.134507,35466.156537,35464.134507
68481,35490.499985,35492.522015,35490.499985
68481,35512.764313,35514.786343,35512.764313
68481,35551.537174,35553.559204,35551.537174
68481,35573.801502,35575.823532,35573.801502
68481,35600.167086,35602.189116,35600.167086
68481,35622.431414,35624.453444,35622.431414
68481,37979.947587,37981.969617,37979.947587
68481,38002.211915,38004.233945,38002.211915
68481,38028.577519,38030.599548,38028.577519
68481,38050.841846,38052.863876,38050.841846
68481,38089.579282,38091.601312,38089.579282
68481,38111.843610,38113.865640,38111.843610
68481,38138.209220,38140.231250,38138.209220
68481,38160.473548,38162.495577,38160.473548
68481,38199.230073,38201.252102,38199.230073
68481,38221.494400,38223.516430,38221.494400
68481,38247.860055,38249.882085,38247.860055
68481,38270.124383,38272.146413,38270.124383
68481,38308.873180,38310.895209,38308.873180
68481,38331.137508,38333.159537,38331.137508
68481,38357.502999,38359.525029,38357.502999
68481,38379.767327,38381.789357,38379.767327
68481,38418.533516,38420.555546,38418.533516
68481,38440.797844,38442.819873,38440.797844
68481,38467.163354,38469.185384,38467.163354
68481,38489.427682,38491.449712,38489.427682
68481,38528.152211,38530.174240,38528.152211
68481,38550.416538,38552.438568,38550.416538
68481,38576.782149,38578.804179,38576.782149
68481,38599.046477,38601.068507,38599.046477
68481,38637.802450,38639.824479,38637.802450
68481,38660.066777,38662.088807,38660.066777
68481,38686.432369,38688.454399,38686.432369
68481,38708.696697,38710.718727,38708.696697
68481,38747.461597,38749.483626,38747.461597
68481,38769.725925,38771.747954,38769.725925
68481,38796.091478,38798.113508,38796.091478
