Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68489,635214,0.169931,46404.868790,46405.131777,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635215,0.596007,46405.294866,46405.557853,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635216,0.829170,46405.528028,46405.791016,1, 0, 0, 1,-9.119743,-2.221231,3.282642,-1,2
68489,635217,1.100188,46405.799045,46406.062034,1, 0, 0, 1,2.185865,-2.154109,16.991583,-1,2
68489,635218,1.114202,46405.813059,46406.076048,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635219,1.131091,46405.829949,46406.092938,1, 0, 0, 1,-2.905395,9.357663,8.260634,-1,2
68489,635220,1.141503,46405.840360,46406.103349,1, 0, 0, 1,-7.847017,0.083354,-5.026700,-1,2
68489,635221,1.191285,46405.890142,46406.153131,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635222,1.236126,46405.934983,46406.197972,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635223,1.425246,46406.124103,46406.387092,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635224,1.451567,46406.150424,46406.413413,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635225,1.740267,46406.439123,46406.702114,1, 0, 0, 1,-4.458799,-5.867433,7.699896,-1,2
68489,635226,1.740740,46406.439596,46406.702587,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635227,1.837655,46406.536510,46406.799501,1, 0, 0, 1,7.558718,-2.389743,8.710421,-1,2
68489,635228,1.860671,46406.559526,46406.822517,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635229,2.029742,46406.728598,46406.991589,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635230,2.105693,46406.804548,46407.067539,1, 0, 0, 1,-1.227939,3.303286,-1.357469,-1,2
68489,635231,2.645163,46407.344017,46407.607009,1, 0, 0, 1,-4.690092,-0.683819,10.751692,-1,2
68489,635232,2.725831,46407.424684,46407.687677,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635233,2.939022,46407.637875,46407.900869,1, 0, 0, 1,4.959509,-5.199718,-10.198789,-1,2
68489,635234,2.996440,46407.695293,46407.958286,1, 1, 1, 1,1.420308,0.432299,-9.004010,-1,4
68489,635235,3.044662,46407.743515,46408.006509,1, 0, 0, 1,-2.401300,-2.475273,8.442934,-1,2
68489,635236,3.085453,46407.784306,46408.047299,1, 1, 1, 1,1.347528,-0.207762,8.653640,-1,4
68489,635237,3.155027,46407.853880,46408.116874,1, 0, 0, 1,-10.228129,3.633709,-2.251705,-1,2
68489,635238,3.209189,46407.908041,46408.171035,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635239,3.338797,46408.037649,46408.300643,1, 0, 0, 1,5.542102,1.858249,19.490204,-1,2
68489,635240,3.380405,46408.079257,46408.342251,1, 0, 0, 1,-7.203023,-2.471828,-16.204760,-1,2
68489,635241,3.381802,46408.080655,46408.343649,1, 0, 0, 1,1.044831,3.114386,-12.906749,-1,2
68489,635242,3.484903,46408.183755,46408.446749,1, 1, 1, 1,0.205304,-1.255408,7.327502,-1,3
68489,635243,3.533861,46408.232713,46408.495707,1, 0, 0, 1,5.524073,1.056460,-0.735405,-1,2
68489,635244,3.622740,46408.321592,46408.584586,1, 0, 0, 1,0.418975,7.029557,4.493422,-1,2
68489,635245,3.974538,46408.673389,46408.936385,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635246,4.058776,46408.757626,46409.020622,1, 1, 1, 1,-0.387809,-1.824996,9.471337,-1,6
68489,635247,4.138038,46408.836889,46409.099885,1, 0, 0, 1,8.008720,0.037604,-15.430441,-1,2
68489,635248,4.179321,46408.878172,46409.141168,1, 0, 0, 1,6.403706,-5.411311,-20.378219,-1,2
68489,635249,4.259826,46408.958676,46409.221673,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635250,4.550593,46409.249443,46409.512439,1, 0, 0, 1,-6.546766,4.421275,-20.160630,-1,2
68489,635251,4.663092,46409.361941,46409.624938,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635252,4.664227,46409.363077,46409.626074,1, 0, 0, 1,0.056058,-5.737717,0.362438,-1,2
68489,635253,4.676868,46409.375717,46409.638714,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635254,4.859836,46409.558685,46409.821682,1, 0, 0, 1,-7.124490,0.612977,3.874289,-1,2
68489,635255,4.860027,46409.558876,46409.821874,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635256,5.011298,46409.710147,46409.973145,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635257,5.019212,46409.718060,46409.981058,1, 0, 0, 1,-1.127717,-5.076169,15.366019,-1,2
68489,635258,5.175512,46409.874360,46410.137359,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635259,5.449546,46410.148393,46410.411392,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635260,5.464970,46410.163818,46410.426816,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635261,5.511778,46410.210626,46410.473625,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635262,5.753300,46410.452147,46410.715147,1, 0, 0, 1,-1.388823,6.273978,6.824285,-1,2
68489,635263,5.799606,46410.498453,46410.761452,1, 0, 0, 1,-0.272260,6.806953,-6.888241,-1,8
68489,635264,5.816346,46410.515193,46410.778193,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635265,5.822655,46410.521502,46410.784502,1, 0, 0, 1,6.204986,11.525079,15.806500,-1,2
68489,635266,5.858661,46410.557507,46410.820507,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635267,5.945805,46410.644651,46410.907651,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635268,5.957984,46410.656831,46410.919831,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635269,6.027543,46410.726389,46410.989389,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635270,6.115568,46410.814414,46411.077414,1, 0, 0, 1,1.083217,-0.579607,9.241830,-1,2
68489,635271,6.118065,46410.816911,46411.079911,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635272,6.155878,46410.854724,46411.117725,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635273,6.278294,46410.977140,46411.240140,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,635274,6.461939,46411.160785,46411.423786,1, 0, 0, 1,-1.310429,5.426141,3.134103,-1,2
68489,635275,6.464359,46411.163205,46411.426206,1, 0, 0, 1,-3.075497,-0.705545,8.469106,-1,2
68489,635276,6.619584,46411.318429,46411.581430,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,635277,6.741078,46411.439922,46411.702924,1, 0, 0, 1,-3.966525,-1.620269,-16.877952,-1,2
68489,635278,6.948803,46411.647647,46411.910649,1, 0, 0, 1,9.137965,1.588630,14.241588,-1,2
68489,635279,7.314491,46412.013334,46412.276337,1, 0, 0, 1,4.496560,-4.952670,-8.727261,-1,2
68489,635280,7.325077,46412.023921,46412.286924,1, 1, 0, 1,-0.290708,-3.000337,-8.557503,-1,3
68489,635281,7.503042,46412.201885,46412.464888,1, 1, 0, 1,0.550123,3.240502,-5.733658,-1,3
