Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68489,618857,0.016833,44722.169002,44722.428258,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,618858,0.026346,44722.178515,44722.437771,1, 0, 0, 1,6.795988,-1.596418,-10.089639,-1,2
68489,618859,0.033516,44722.185685,44722.444941,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,618860,0.210756,44722.362924,44722.622180,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,618861,0.414852,44722.567020,44722.826277,1, 0, 0, 1,6.121002,0.299920,0.832262,-1,2
68489,618862,0.488909,44722.641077,44722.900333,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,618863,1.121335,44723.273502,44723.532760,1, 0, 0, 1,1.216672,-4.369944,2.100252,-1,9
68489,618864,1.194872,44723.347039,44723.606297,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,618865,1.198728,44723.350894,44723.610153,1, 0, 0, 1,9.791755,-5.839346,4.243489,-1,2
68489,618866,1.285054,44723.437220,44723.696479,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,618867,1.295150,44723.447316,44723.706574,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,618868,1.313067,44723.465233,44723.724492,1, 0, 0, 1,0.935552,-8.265370,-15.413061,-1,2
68489,618869,1.321416,44723.473583,44723.732841,1, 0, 0, 1,-3.793438,-3.142049,-18.709023,-1,2
68489,618870,1.445437,44723.597603,44723.856862,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,618871,1.488827,44723.640992,44723.900251,1, 0, 0, 1,-0.821063,0.658766,-18.163158,-1,2
68489,618872,1.631789,44723.783955,44724.043214,1, 0, 0, 1,-4.091717,-1.858589,-6.274606,-1,2
68489,618873,1.830486,44723.982651,44724.241911,1, 0, 0, 1,-7.191037,1.733167,4.065583,-1,2
68489,618874,2.102031,44724.254195,44724.513455,1, 0, 0, 1,-5.340070,-1.605532,0.944593,-1,2
68489,618875,2.190262,44724.342426,44724.601686,1, 0, 0, 1,-9.144807,-9.561881,17.466578,-1,2
68489,618876,2.309930,44724.462094,44724.721355,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,618877,2.359165,44724.511329,44724.770590,1, 0, 0, 1,4.437841,7.833294,-5.559074,-1,2
68489,618878,2.362023,44724.514187,44724.773448,1, 0, 0, 1,-0.538857,3.333778,17.052454,-1,2
