Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68489,459852,0.190124,28399.271849,28399.496822,1, 0, 0, 1,-4.457877,-6.103279,11.413897,-1,2
68489,459853,0.214271,28399.295996,28399.520969,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,459854,0.358612,28399.440337,28399.665310,1, 0, 0, 1,-3.497579,7.123987,-11.194723,-1,2
68489,459855,0.685773,28399.767497,28399.992471,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,459856,0.749680,28399.831404,28400.056378,1, 0, 0, 1,0.885878,-3.449187,-15.733685,-1,2
68489,459857,0.775446,28399.857170,28400.082144,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,459858,0.803608,28399.885332,28400.110306,1, 0, 0, 1,3.461959,-0.523875,-5.645520,-1,2
68489,459859,0.885654,28399.967377,28400.192352,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,459860,1.051079,28400.132802,28400.357777,1, 0, 0, 1,1.858520,2.917358,6.772887,-1,2
68489,459861,1.077479,28400.159202,28400.384176,1, 0, 0, 1,-0.026350,8.055266,-2.188363,-1,3
68489,459862,1.087551,28400.169275,28400.394249,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,459863,1.100162,28400.181885,28400.406860,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,459864,1.190873,28400.272596,28400.497571,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68489,459865,1.271831,28400.353554,28400.578529,1, 0, 0, 1,3.523767,-0.601035,11.040715,-1,2
68489,459866,1.456250,28400.537973,28400.762948,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68489,459867,1.568080,28400.649802,28400.874778,1, 0, 0, 1,-2.613939,4.699775,14.490104,-1,3
68489,459868,1.649504,28400.731226,28400.956202,1, 0, 0, 1,-5.693468,-0.882424,-5.378896,-1,2
68489,459869,1.825744,28400.907466,28401.132442,1, 0, 0, 1,-6.354787,4.068315,-0.420413,-1,2
68489,460034,0.072567,28417.370521,28417.595530,1, 0, 0, 1,-3.955791,3.904111,3.925964,-1,2
68489,460035,0.118595,28417.416549,28417.641558,1, 0, 0, 1,-3.541289,9.430912,17.207678,-1,2
68489,460036,0.175141,28417.473095,28417.698104,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
