Run Number,Plot Time (Time axis of TAPlot),OfficialTime (run time),SIS Channel, SIS Module,Counts
68489,0.004705799998191651,28407.407521699999,3,0,2
68489,0.0089536999985284638,28407.411769599999,3,0,1
68489,0.018174900000303751,28407.420990800001,3,0,1
68489,0.021013300000049639,28407.423829200001,3,0,1
68489,0.03189360000033048,28407.434709500001,3,0,2
68489,0.048341499998059589,28407.451157399999,3,0,1
68489,0.054018200000427896,28407.456834100001,3,0,1
68489,0.087554400000954047,28407.490370300002,3,0,1
68489,0.11200239999743644,28407.514818299998,3,0,2
68489,0.12322990000029677,28407.526045800001,3,0,1
68489,0.14195069999914267,28407.5447666,3,0,2
68489,0.14265279999744962,28407.545468699998,3,0,2
68489,0.15750679999837303,28407.560322699999,6,0,1
68489,0.15750679999837303,28407.560322699999,7,0,1
68489,0.17786049999995157,28407.580676400001,3,0,1
68489,0.18274889999884181,28407.5855648,6,0,1
68489,0.18274889999884181,28407.5855648,7,0,1
68489,0.22077139999964857,28407.623587300001,3,0,1
68489,0.24643869999999879,28407.649254600001,3,0,1
68489,0.27358800000001793,28407.676403900001,3,0,2
68489,0.30354779999834136,28407.706363699999,3,0,1
68489,0.31064499999774853,28407.713460899999,3,0,2
68489,0.32024769999770797,28407.723063599999,3,0,2
68489,0.32971059999908903,28407.7325265,3,0,1
68489,0.34664619999966817,28407.749462100001,3,0,1
68489,0.34667450000051758,28407.749490400001,3,0,2
68489,0.35446899999806192,28407.757284899999,3,0,1
68489,0.3644676999974763,28407.767283599998,3,0,1
68489,0.36452419999841368,28407.767340099999,3,0,1
68489,0.36757709999801591,28407.770392999999,3,0,2
68489,0.37083060000077239,28407.773646500002,3,0,1
68489,0.37721419999797945,28407.780030099999,3,0,2
68489,0.38003009999738424,28407.782845999998,3,0,2
68489,0.39074859999891487,28407.7935645,3,0,2
68489,0.39264039999761735,28407.795456299998,6,0,1
68489,0.39264039999761735,28407.795456299998,7,0,1
68489,0.42348470000069938,28407.826300600002,3,0,1
68489,0.44725909999760916,28407.850074999998,3,0,1
68489,0.45465390000026673,28407.857469800001,3,0,1
68489,0.46258029999808059,28407.865396199999,3,0,1
68489,0.47291449999829638,28407.875730399999,3,0,1
68489,0.48088239999924554,28407.8836983,3,0,1
68489,0.48816430000078981,28407.890980200002,3,0,1
68489,0.50414570000066306,28407.906961600002,3,0,1
68489,0.51871770000070683,28407.921533600002,3,0,2
68489,0.52473380000083125,28407.927549700002,3,0,2
68489,0.53158339999936288,28407.9343993,3,0,2
68489,0.55158419999861508,28407.954400099999,3,0,1
68489,0.55326699999932316,28407.9560829,3,0,1
68489,0.56560209999952349,28407.968418,3,0,1
68489,0.57257559999925434,28407.9753915,3,0,1
68489,0.59821419999934733,28408.0010301,3,0,1
68489,0.6042766999999003,28408.007092600001,3,0,2
68489,0.61303380000026664,28408.015849700001,3,0,2
68489,0.61734819999765023,28408.020164099999,3,0,1
68489,0.62831219999861787,28408.031128099999,3,0,1
68489,0.6300554999979795,28408.032871399999,3,0,2
68489,0.64416770000025281,28408.046983600001,3,0,2
68489,0.65377269999953569,28408.0565886,3,0,1
68489,0.66224429999783752,28408.065060199999,6,0,1
68489,0.66224429999783752,28408.065060199999,7,0,1
68489,0.66637949999858392,28408.069195399999,3,0,1
68489,0.67294369999945047,28408.0757596,3,0,1
68489,0.67953330000091228,28408.082349200002,3,0,1
68489,0.68022179999752552,28408.083037699998,3,0,1
68489,0.70309919999999693,28408.105915100001,3,0,1
68489,0.71499689999836846,28408.117812799999,3,0,2
68489,0.72377149999738322,28408.126587399998,3,0,1
68489,0.72602639999968233,28408.128842300001,6,0,1
68489,0.72602639999968233,28408.128842300001,7,0,1
68489,0.7262300000002142,28408.129045900001,6,0,1
68489,0.7262300000002142,28408.129045900001,7,0,1
68489,0.7451693000002706,28408.147985200001,3,0,1
68489,0.75053449999904842,28408.1533504,3,0,1
68489,0.77449069999784115,28408.177306599999,3,0,2
68489,0.78357599999799277,28408.186391899999,3,0,1
68489,0.79641239999909885,28408.1992283,3,0,2
68489,0.82689399999799207,28408.229709899999,6,0,1
68489,0.82689399999799207,28408.229709899999,7,0,1
68489,0.83646049999879324,28408.2392764,3,0,2
68489,0.86489670000082697,28408.267712600002,3,0,2
68489,0.89307579999876907,28408.2958917,3,0,2
68489,0.89629639999839128,28408.299112299999,6,0,1
68489,0.89629639999839128,28408.299112299999,7,0,1
68489,0.9034174999978859,28408.306233399999,3,0,2
68489,0.90469569999913801,28408.3075116,3,0,1
68489,0.90967810000074678,28408.312494000002,3,0,2
68489,0.91723060000003898,28408.320046500001,3,0,2
68489,0.95292879999760771,28408.355744699998,3,0,1
68489,0.95647850000023027,28408.359294400001,3,0,1
68489,0.98262509999767644,28408.385440999999,3,0,1
68489,1.0076824999996461,28408.410498400001,6,0,1
68489,1.0076824999996461,28408.410498400001,7,0,1
68489,1.009272699997382,28408.412088599998,3,0,2
68489,1.0183666999982961,28408.421182599999,3,0,1
68489,1.0203694999981963,28408.423185399999,3,0,1
68489,1.0341033000004245,28408.436919200001,6,0,1
68489,1.0341033000004245,28408.436919200001,7,0,1
68489,1.0350986999983434,28408.437914599999,3,0,2
68489,1.0430921000006492,28408.445908000002,3,0,2
68489,1.0597735999981523,28408.462589499999,3,0,1
68489,1.0757121999995434,28408.4785281,6,0,1
68489,1.0757121999995434,28408.4785281,7,0,1
68489,1.0793422999995528,28408.4821582,3,0,1
68489,1.0828691999995499,28408.4856851,6,0,1
68489,1.0828691999995499,28408.4856851,7,0,1
68489,1.0973773000005167,28408.500193200001,3,0,1
68489,1.1026218999977573,28408.505437799999,3,0,1
68489,1.1288464999997814,28408.531662400001,3,0,2
68489,1.1302455999975791,28408.533061499998,3,0,1
68489,1.1347438999982842,28408.537559799999,3,0,1
68489,1.1787736999976914,28408.581589599999,3,0,2
68489,1.1839318999991519,28408.5867478,3,0,1
68489,1.1907129999999597,28408.593528900001,3,0,2
68489,1.1939652000000933,28408.596781100001,6,0,1
68489,1.1939652000000933,28408.596781100001,7,0,1
68489,1.1964536999985285,28408.599269599999,6,0,1
68489,1.1964536999985285,28408.599269599999,7,0,1
68489,1.1988323999976274,28408.601648299998,3,0,2
68489,1.2430567999981577,28408.645872699999,3,0,1
68489,1.2448124999973516,28408.647628399998,3,0,1
68489,1.2476131000003079,28408.650429000001,3,0,2
68489,1.2496858999984397,28408.652501799999,3,0,2
68489,1.271286200000759,28408.674102100002,3,0,2
68489,1.272959499998251,28408.675775399999,3,0,1
68489,1.2761214999991353,28408.6789374,3,0,1
68489,1.3342592000008153,28408.737075100002,3,0,2
68489,1.366323199999897,28408.769139100001,3,0,1
68489,1.3682068999987678,28408.7710228,3,0,2
68489,1.3714120000004186,28408.774227900001,3,0,2
68489,1.3835486999996647,28408.786364600001,3,0,2
68489,1.3885855999978958,28408.791401499999,3,0,2
68489,1.4029277999979968,28408.805743699999,3,0,1
68489,1.4082479999997304,28408.811063900001,3,0,2
68489,1.4102141999974265,28408.813030099998,3,0,2
68489,1.4452866999999969,28408.848102600001,3,0,2
68489,1.4675774999996065,28408.8703934,3,0,1
68489,1.4697639999976673,28408.872579899999,3,0,1
68489,1.4726606000003812,28408.875476500001,3,0,1
68489,1.4825906000005489,28408.885406500001,3,0,2
68489,1.4957160999983898,28408.898531999999,3,0,1
68489,1.4982844000005571,28408.901100300001,3,0,1
68489,1.5006658999991487,28408.9034818,3,0,1
68489,1.5072901999992609,28408.9101061,3,0,1
68489,1.5131744999998773,28408.915990400001,3,0,2
68489,1.5145935000000463,28408.917409400001,6,0,1
68489,1.5145935000000463,28408.917409400001,7,0,1
68489,1.5338878000002296,28408.936703700001,3,0,2
68489,1.5523590999982844,28408.955174999999,3,0,2
68489,1.5624085999988893,28408.9652245,3,0,1
68489,1.6278328000007605,28409.030648700002,3,0,1
68489,1.6286665000006906,28409.031482400002,3,0,2
68489,1.6428926999979012,28409.045708599999,3,0,2
68489,1.6577352999993309,28409.0605512,3,0,2
68489,1.6582562999974471,28409.061072199998,6,0,1
68489,1.6582562999974471,28409.061072199998,7,0,1
68489,1.6590710999989824,28409.061887,3,0,1
68489,1.6691195999992487,28409.0719355,3,0,1
68489,1.6720356999976502,28409.074851599999,3,0,1
68489,1.6818304999978864,28409.084646399999,6,0,1
68489,1.6818304999978864,28409.084646399999,7,0,1
68489,1.6868104999994102,28409.0896264,6,0,1
68489,1.6868104999994102,28409.0896264,7,0,1
68489,1.688337199997477,28409.091153099998,6,0,1
68489,1.688337199997477,28409.091153099998,7,0,1
68489,1.7021505999982764,28409.104966499999,3,0,2
68489,1.7030871999995725,28409.1059031,3,0,1
68489,1.7115120999987994,28409.114328,3,0,1
68489,1.7184739999975136,28409.121289899998,3,0,1
68489,1.7259728999997606,28409.128788800001,3,0,1
68489,1.7316993999993429,28409.1345153,3,0,1
68489,1.7422401000003447,28409.145056000001,3,0,1
68489,1.7432802000002994,28409.146096100001,3,0,1
68489,1.7546012999991945,28409.1574172,3,0,2
68489,1.7575082000003022,28409.160324100001,3,0,1
68489,1.7656419999984792,28409.168457899999,3,0,1
68489,1.7783624999974563,28409.181178399998,3,0,2
68489,1.7817742999977781,28409.184590199999,3,0,1
68489,1.7991024000002653,28409.201918300001,3,0,1
68489,1.8019080999983998,28409.204723999999,3,0,2
68489,1.8078389000002062,28409.210654800001,3,0,2
68489,1.8145876999988104,28409.2174036,3,0,1
68489,1.8230144000008295,28409.225830300002,6,0,1
68489,1.8230144000008295,28409.225830300002,7,0,1
68489,1.8236099999994622,28409.2264259,3,0,1
68489,1.8260096999983944,28409.228825599999,6,0,1
68489,1.8260096999983944,28409.228825599999,7,0,1
68489,1.8380458999999973,28409.240861800001,3,0,2
68489,1.8391429000002972,28409.241958800001,3,0,1
68489,1.8413462999997137,28409.244162200001,6,0,1
68489,1.8413462999997137,28409.244162200001,7,0,1
68489,1.8457371999975294,28409.248553099998,3,0,1
68489,1.8541508999987855,28409.2569668,3,0,2
68489,1.8577120000009018,28409.260527900002,6,0,1
68489,1.8577120000009018,28409.260527900002,7,0,1
68489,1.8797322999998869,28409.282548200001,3,0,2
68489,1.8888205999974161,28409.291636499998,3,0,1
68489,1.9053964999984601,28409.308212399999,3,0,1
68489,1.932795000000624,28409.335610900001,3,0,1
68489,1.9350128000005498,28409.337828700001,3,0,1
68489,1.9484579999989364,28409.3512739,3,0,1
68489,1.9523693999981333,28409.355185299999,3,0,2
68489,1.9536612999982026,28409.356477199999,3,0,1
68489,1.9554819999975734,28409.358297899998,3,0,2
68489,1.9736288999993121,28409.3764448,3,0,2
68489,1.9867139999987558,28409.3895299,3,0,1
68489,2.0137892999991891,28409.4166052,6,0,1
68489,2.0137892999991891,28409.4166052,7,0,1
68489,2.0214701000004425,28409.424286000001,3,0,2
68489,0.0038490000006277114,28433.7190486,3,0,1
68489,0.0260335999992094,28433.741233199999,3,0,2
68489,0.028359800002363045,28433.743559400002,3,0,2
68489,0.030961799999204231,28433.746161399999,3,0,1
68489,0.035000899999431567,28433.750200499999,6,0,1
68489,0.035000899999431567,28433.750200499999,7,0,1
68489,0.043009100001654588,28433.758208700001,3,0,1
68489,0.053431399999681162,28433.768630999999,3,0,2
68489,0.066844400000263704,28433.782044,3,0,2
68489,0.070637900000292575,28433.7858375,6,0,1
68489,0.070637900000292575,28433.7858375,7,0,1
68489,0.085929299999406794,28433.801128899999,3,0,2
68489,0.1214949000022898,28433.836694500002,3,0,1
68489,0.12746750000223983,28433.842667100002,3,0,1
68489,0.12906529999963823,28433.844264899999,3,0,1
68489,0.15420340000127908,28433.869403000001,3,0,1
68489,0.16204060000018217,28433.8772402,3,0,1
68489,0.16723520000232384,28433.882434800002,3,0,1
68489,0.19526920000134851,28433.910468800001,3,0,2
68489,0.24707150000176625,28433.962271100001,3,0,1
68489,0.25233339999977034,28433.967532999999,6,0,1
68489,0.25233339999977034,28433.967532999999,7,0,1
68489,0.26904370000193012,28433.984243300001,3,0,1
68489,0.27161100000012084,28433.986810599999,3,0,1
68489,0.27644050000162679,28433.991640100001,3,0,2
68489,0.27707319999899482,28433.992272799998,3,0,2
68489,0.29270220000034897,28434.0079018,6,0,1
68489,0.29270220000034897,28434.0079018,7,0,1
68489,0.29669750000175554,28434.011897100001,3,0,2
