Run Number,Min Time,Max Time,Zero Time
68498,47853.700387,47855.722417,47853.700387
68498,47873.940682,47875.962712,47873.940682
68498,47890.186131,47892.208160,47890.186131
68498,47910.426426,47912.448456,47910.426426
68498,47939.055206,47941.077235,47939.055206
68498,47959.295501,47961.317531,47959.295501
68498,47975.541025,47977.563055,47975.541025
68498,47995.781321,47997.803350,47995.781321
68498,48024.409950,48026.431980,48024.409950
68498,48044.650246,48046.672275,48044.650246
68498,48060.895647,48062.917676,48060.895647
68498,48081.135942,48083.157972,48081.135942
68498,48109.785894,48111.807924,48109.785894
68498,48130.026190,48132.048219,48130.026190
68498,48146.271603,48148.293633,48146.271603
68498,48166.511899,48168.533928,48166.511899
68498,48195.168989,48197.191019,48195.168989
68498,48215.409285,48217.431314,48215.409285
68498,48231.654781,48233.676810,48231.654781
68498,48251.895076,48253.917106,48251.895076
68498,48280.525318,48282.547348,48280.525318
68498,48300.765614,48302.787643,48300.765614
68498,48317.011016,48319.033046,48317.011016
68498,48337.251312,48339.273342,48337.251312
68498,48365.875750,48367.897780,48365.875750
68498,48386.116046,48388.138076,48386.116046
68498,48402.361420,48404.383450,48402.361420
68498,48422.601716,48424.623746,48422.601716
68498,48451.220114,48453.242144,48451.220114
68498,48471.460410,48473.482440,48471.460410
68498,48487.705987,48489.728016,48487.705987
68498,48507.946283,48509.968312,48507.946283
68498,48536.581831,48538.603861,48536.581831
68498,48556.822127,48558.844157,48556.822127
68498,48573.067580,48575.089610,48573.067580
68498,48593.307876,48595.329906,48593.307876
68498,48655.540044,48657.562074,48655.540044
68498,48675.780340,48677.802370,48675.780340
68498,48692.025778,48694.047808,48692.025778
68498,48712.266074,48714.288104,48712.266074
68498,48740.886285,48742.908314,48740.886285
68498,48761.126581,48763.148610,48761.126581
68498,48777.372601,48779.394631,48777.372601
68498,48797.612897,48799.634927,48797.612897
68498,48826.288871,48828.310901,48826.288871
68498,48846.529167,48848.551197,48846.529167
68498,48862.774595,48864.796624,48862.774595
68498,48883.014891,48885.036920,48883.014891
68498,48911.646644,48913.668673,48911.646644
68498,48931.886940,48933.908969,48931.886940
68498,48948.132389,48950.154419,48948.132389
68498,48968.372685,48970.394715,48968.372685
68498,48997.003480,48999.025510,48997.003480
68498,49017.243776,49019.265806,49017.243776
68498,49033.489105,49035.511135,49033.489105
68498,49053.729401,49055.751431,49053.729401
68498,49082.323525,49084.345554,49082.323525
68498,49102.563821,49104.585850,49102.563821
68498,49118.809238,49120.831268,49118.809238
68498,49139.049534,49141.071564,49139.049534
68498,49167.652502,49169.674531,49167.652502
68498,49187.892798,49189.914828,49187.892798
68498,49204.138327,49206.160357,49204.138327
68498,49224.378624,49226.400653,49224.378624
68498,49253.013291,49255.035320,49253.013291
68498,49273.253587,49275.275617,49273.253587
68498,49289.499005,49291.521035,49289.499005
68498,49309.739302,49311.761331,49309.739302
68498,49338.379233,49340.401263,49338.379233
68498,49358.619529,49360.641559,49358.619529
68498,49374.864919,49376.886949,49374.864919
68498,49395.105216,49397.127245,49395.105216
68498,49423.745842,49425.767872,49423.745842
68498,49443.986139,49446.008168,49443.986139
68498,49460.231450,49462.253480,49460.231450
68498,49480.471746,49482.493776,49480.471746
68498,49513.299803,49515.321833,49513.299803
68498,49533.540100,49535.562129,49533.540100
68498,49549.785514,49551.807544,49549.785514
68498,49570.025811,49572.047840,49570.025811
68498,49598.662044,49600.684074,49598.662044
68498,49618.902340,49620.924370,49618.902340
68498,49635.147747,49637.169777,49635.147747
68498,49655.388044,49657.410073,49655.388044
68498,49684.029179,49686.051209,49684.029179
68498,49704.269475,49706.291505,49704.269475
68498,49720.514938,49722.536967,49720.514938
68498,49740.755234,49742.777263,49740.755234
68498,49769.396398,49771.418428,49769.396398
68498,49789.636694,49791.658724,49789.636694
68498,49805.882065,49807.904095,49805.882065
68498,49826.122361,49828.144391,49826.122361
68498,49854.771971,49856.794000,49854.771971
68498,49875.012267,49877.034297,49875.012267
68498,49891.257680,49893.279710,49891.257680
68498,49911.497976,49913.520006,49911.497976
68498,49940.140743,49942.162773,49940.140743
68498,49960.381039,49962.403069,49960.381039
68498,49976.626475,49978.648504,49976.626475
68498,49996.866771,49998.888800,49996.866771
68498,50025.507777,50027.529807,50025.507777
68498,50045.748073,50047.770103,50045.748073
68498,50061.993361,50064.015391,50061.993361
68498,50082.233657,50084.255687,50082.233657
68498,50110.880083,50112.902113,50110.880083
68498,50131.120379,50133.142409,50131.120379
68498,50147.365651,50149.387681,50147.365651
68498,50167.605947,50169.627977,50167.605947
68498,50196.203190,50198.225220,50196.203190
68498,50216.443486,50218.465516,50216.443486
68498,50232.689476,50234.711506,50232.689476
68498,50252.929772,50254.951802,50252.929772
68498,50281.563950,50283.585979,50281.563950
68498,50301.804246,50303.826276,50301.804246
68498,50318.049766,50320.071796,50318.049766
68498,50338.290062,50340.312092,50338.290062
68498,50371.081908,50373.103937,50371.081908
68498,50391.322204,50393.344233,50391.322204
68498,50407.567510,50409.589540,50407.567510
68498,50427.807806,50429.829836,50427.807806
68498,50456.444716,50458.466746,50456.444716
68498,50476.685012,50478.707042,50476.685012
68498,50492.930383,50494.952413,50492.930383
68498,50513.170679,50515.192709,50513.170679
68498,50541.794796,50543.816825,50541.794796
68498,50562.035092,50564.057121,50562.035092
68498,50578.281215,50580.303245,50578.281215
68498,50598.521511,50600.543541,50598.521511
68498,50627.155023,50629.177053,50627.155023
