Run Number,Plot Time (Time axis of TAPlot),OfficialTime (run time),SIS Channel, SIS Module,Counts
68498,0.0023025999980745837,47855.7267192,3,0,1
68498,0.026408199999423232,47855.750824800001,3,0,2
68498,0.031012300001748372,47855.755428900004,3,0,2
68498,0.033333999999740627,47855.757750600002,3,0,1
68498,0.055314699995506089,47855.779731299997,3,0,1
68498,0.067958699997689109,47855.7923753,3,0,2
68498,0.074000900000100955,47855.798417500002,3,0,1
68498,0.08326880000095116,47855.807685400003,6,0,1
68498,0.08326880000095116,47855.807685400003,7,0,1
68498,0.08326880000095116,47855.807685400003,3,0,2
68498,0.087419399998907465,47855.811836000001,3,0,1
68498,0.1434603999950923,47855.867876999997,3,0,2
68498,0.1561132999995607,47855.880529900001,3,0,1
68498,0.17928589999792166,47855.9037025,6,0,1
68498,0.17928589999792166,47855.9037025,7,0,1
68498,0.20128819999808911,47855.9257048,3,0,2
68498,0.20521889999508858,47855.929635499997,3,0,1
68498,0.23345569999946747,47855.957872300001,3,0,2
68498,0.23705199999676552,47855.961468599999,6,0,1
68498,0.23705199999676552,47855.961468599999,7,0,1
68498,0.23878839999815682,47855.963205,3,0,2
68498,0.24357980000058888,47855.967996400002,3,0,2
68498,0.24360840000008466,47855.968025000002,3,0,1
68498,0.24589439999544993,47855.970310999997,6,0,1
68498,0.24589439999544993,47855.970310999997,7,0,1
68498,0.24589439999544993,47855.970310999997,3,0,1
68498,0.27308559999801219,47855.9975022,3,0,1
68498,0.28358939999452559,47856.008005999996,3,0,1
68498,0.28520849999767961,47856.0096251,6,0,1
68498,0.28520849999767961,47856.0096251,7,0,1
68498,0.28835529999923892,47856.012771900001,3,0,1
68498,0.31535699999949429,47856.039773600001,3,0,1
68498,0.33178749999933643,47856.056204100001,3,0,2
68498,0.33924459999980172,47856.063661200002,3,0,2
68498,0.3572585000001709,47856.081675100002,3,0,1
68498,0.3785340999966138,47856.102950699998,3,0,2
68498,0.3935912000015378,47856.118007800003,3,0,2
68498,0.39953750000131549,47856.123954100003,3,0,1
68498,0.40034490000107326,47856.124761500003,3,0,1
68498,0.40563299999485025,47856.130049599997,3,0,1
68498,0.40874590000021271,47856.133162500002,3,0,2
68498,0.41094219999649795,47856.135358799998,6,0,1
68498,0.41094219999649795,47856.135358799998,7,0,1
68498,0.41285439999774098,47856.137271,3,0,1
68498,0.41431780000129947,47856.138734400003,3,0,1
68498,0.41829460000008112,47856.142711200002,3,0,2
68498,0.43814179999753833,47856.162558399999,3,0,1
68498,0.4453127000015229,47856.169729300003,3,0,2
68498,0.4622899999958463,47856.186706599998,3,0,2
68498,0.46945899999991525,47856.193875600002,3,0,1
68498,0.49787339999602409,47856.222289999998,3,0,1
68498,0.52898409999761498,47856.253400699999,3,0,1
68498,0.54634729999816045,47856.2707639,3,0,2
68498,0.5508410999973421,47856.275257699999,3,0,2
68498,0.5578005999996094,47856.282217200001,3,0,2
68498,0.5599103999993531,47856.284327000001,3,0,2
68498,0.57826709999790182,47856.3026837,3,0,1
68498,0.59499399999913294,47856.319410600001,3,0,1
68498,0.60045399999944493,47856.324870600001,3,0,1
68498,0.60907489999954123,47856.333491500001,3,0,1
68498,0.62878359999740496,47856.353200199999,3,0,1
68498,0.63851389999763342,47856.362930499999,3,0,1
68498,0.64851719999569468,47856.372933799998,3,0,1
68498,0.65931979999731993,47856.383736399999,3,0,2
68498,0.68201549999503186,47856.406432099997,3,0,2
68498,0.70332390000112355,47856.427740500003,3,0,2
68498,0.70433069999853615,47856.4287473,6,0,1
68498,0.70433069999853615,47856.4287473,7,0,1
68498,0.71345029999793041,47856.4378669,3,0,1
68498,0.7162834999980987,47856.4407001,3,0,2
68498,0.72265719999995781,47856.447073800002,3,0,1
68498,0.7493317999978899,47856.4737484,3,0,1
68498,0.75360209999780636,47856.4780187,3,0,2
68498,0.75444129999959841,47856.478857900001,3,0,1
68498,0.75988309999956982,47856.484299700001,6,0,1
68498,0.75988309999956982,47856.484299700001,7,0,1
68498,0.76960200000030454,47856.494018600002,3,0,2
68498,0.77075360000162618,47856.495170200003,3,0,2
68498,0.77356329999747686,47856.497979899999,3,0,1
68498,0.77792860000045039,47856.502345200002,3,0,2
68498,0.81184850000136066,47856.536265100003,3,0,1
68498,0.83021159999771044,47856.5546282,6,0,1
68498,0.83021159999771044,47856.5546282,7,0,1
68498,0.83486679999623448,47856.559283399998,3,0,1
68498,0.8423904000010225,47856.566807000003,3,0,1
68498,0.84317239999654703,47856.567588999998,3,0,1
68498,0.84567209999659099,47856.570088699998,3,0,1
68498,0.85031919999892125,47856.574735800001,3,0,2
