Run Number,Min Time,Max Time,Zero Time
68498,47855.724417,47857.746446,47855.724417
68498,47871.916653,47873.938682,47871.916653
68498,47892.210160,47894.232190,47892.210160
68498,47908.402397,47910.424426,47908.402397
68498,47941.079235,47943.101265,47941.079235
68498,47957.271472,47959.293501,47957.271472
68498,47977.565055,47979.587085,47977.565055
68498,47993.757291,47995.779321,47993.757291
68498,48026.433980,48028.456009,48026.433980
68498,48042.626216,48044.648246,48042.626216
68498,48062.919676,48064.941706,48062.919676
68498,48079.111913,48081.133942,48079.111913
68498,48111.809924,48113.831953,48111.809924
68498,48128.002160,48130.024190,48128.002160
68498,48148.295633,48150.317662,48148.295633
68498,48164.487869,48166.509899,48164.487869
68498,48197.193019,48199.215048,48197.193019
68498,48213.385255,48215.407285,48213.385255
68498,48233.678810,48235.700840,48233.678810
68498,48249.871047,48251.893076,48249.871047
68498,48282.549348,48284.571377,48282.549348
68498,48298.741584,48300.763614,48298.741584
68498,48319.035046,48321.057075,48319.035046
68498,48335.227282,48337.249312,48335.227282
68498,48367.899780,48369.921809,48367.899780
68498,48384.092016,48386.114046,48384.092016
68498,48404.385450,48406.407479,48404.385450
68498,48420.577687,48422.599716,48420.577687
68498,48453.244144,48455.266173,48453.244144
68498,48469.436380,48471.458410,48469.436380
68498,48489.730016,48491.752046,48489.730016
68498,48505.922253,48507.944283,48505.922253
68498,48538.605861,48540.627891,48538.605861
68498,48554.798098,48556.820127,48554.798098
68498,48575.091610,48577.113639,48575.091610
68498,48591.283847,48593.305876,48591.283847
68498,48657.564074,48659.586103,48657.564074
68498,48673.756311,48675.778340,48673.756311
68498,48694.049808,48696.071837,48694.049808
68498,48710.242044,48712.264074,48710.242044
68498,48742.910314,48744.932344,48742.910314
68498,48759.102551,48761.124581,48759.102551
68498,48779.396631,48781.418660,48779.396631
68498,48795.588868,48797.610897,48795.588868
68498,48828.312901,48830.334931,48828.312901
68498,48844.505138,48846.527167,48844.505138
68498,48864.798624,48866.820654,48864.798624
68498,48880.990861,48883.012891,48880.990861
68498,48913.670673,48915.692703,48913.670673
68498,48929.862910,48931.884940,48929.862910
68498,48950.156419,48952.178448,48950.156419
68498,48966.348655,48968.370685,48966.348655
68498,48999.027510,49001.049540,48999.027510
68498,49015.219747,49017.241776,49015.219747
68498,49035.513135,49037.535164,49035.513135
68498,49051.705372,49053.727401,49051.705372
68498,49084.347554,49086.369584,49084.347554
68498,49100.539791,49102.561821,49100.539791
68498,49120.833268,49122.855297,49120.833268
68498,49137.025505,49139.047534,49137.025505
68498,49169.676531,49171.698561,49169.676531
68498,49185.868768,49187.890798,49185.868768
68498,49206.162357,49208.184386,49206.162357
68498,49222.354594,49224.376624,49222.354594
68498,49255.037320,49257.059350,49255.037320
68498,49271.229558,49273.251587,49271.229558
68498,49291.523035,49293.545065,49291.523035
68498,49307.715272,49309.737302,49307.715272
68498,49340.403263,49342.425292,49340.403263
68498,49356.595500,49358.617529,49356.595500
68498,49376.888949,49378.910979,49376.888949
68498,49393.081186,49395.103216,49393.081186
68498,49425.769872,49427.791902,49425.769872
68498,49441.962109,49443.984139,49441.962109
68498,49462.255480,49464.277509,49462.255480
68498,49478.447717,49480.469746,49478.447717
68498,49515.323833,49517.345863,49515.323833
68498,49531.516070,49533.538100,49531.516070
68498,49551.809544,49553.831573,49551.809544
68498,49568.001781,49570.023811,49568.001781
68498,49600.686074,49602.708103,49600.686074
68498,49616.878311,49618.900340,49616.878311
68498,49637.171777,49639.193807,49637.171777
68498,49653.364014,49655.386044,49653.364014
68498,49686.053209,49688.075238,49686.053209
68498,49702.245446,49704.267475,49702.245446
68498,49722.538967,49724.560997,49722.538967
68498,49738.731204,49740.753234,49738.731204
68498,49771.420428,49773.442457,49771.420428
68498,49787.612665,49789.634694,49787.612665
68498,49807.906095,49809.928124,49807.906095
68498,49824.098332,49826.120361,49824.098332
68498,49856.796000,49858.818030,49856.796000
68498,49872.988237,49875.010267,49872.988237
68498,49893.281710,49895.303739,49893.281710
68498,49909.473947,49911.495976,49909.473947
68498,49942.164773,49944.186802,49942.164773
68498,49958.357010,49960.379039,49958.357010
68498,49978.650504,49980.672534,49978.650504
68498,49994.842741,49996.864771,49994.842741
68498,50027.531807,50029.553836,50027.531807
68498,50043.724044,50045.746073,50043.724044
68498,50064.017391,50066.039420,50064.017391
68498,50080.209628,50082.231657,50080.209628
68498,50112.904113,50114.926142,50112.904113
68498,50129.096350,50131.118379,50129.096350
68498,50149.389681,50151.411710,50149.389681
68498,50165.581918,50167.603947,50165.581918
68498,50198.227220,50200.249249,50198.227220
68498,50214.419457,50216.441486,50214.419457
68498,50234.713506,50236.735535,50234.713506
68498,50250.905743,50252.927772,50250.905743
68498,50283.587979,50285.610009,50283.587979
68498,50299.780216,50301.802246,50299.780216
68498,50320.073796,50322.095826,50320.073796
68498,50336.266033,50338.288062,50336.266033
68498,50373.105937,50375.127967,50373.105937
68498,50389.298174,50391.320204,50389.298174
68498,50409.591540,50411.613569,50409.591540
68498,50425.783777,50427.805806,50425.783777
68498,50458.468746,50460.490775,50458.468746
68498,50474.660982,50476.683012,50474.660982
68498,50494.954413,50496.976442,50494.954413
68498,50511.146649,50513.168679,50511.146649
