Run Number,Min Time,Max Time,Zero Time
68498,39391.628239,39391.675889,39391.628239
68498,39465.618477,39468.679471,39465.618477
68498,39391.687889,39392.701972,39391.687889
68498,39394.724001,39394.726002,39394.724001
68498,39396.748031,39396.750031,39396.748031
68498,39398.772060,39398.774061,39398.772060
68498,39400.796090,39400.798090,39400.796090
68498,39402.820120,39402.822120,39402.820120
68498,39404.844149,39404.846149,39404.844149
68498,39406.868179,39406.870179,39406.868179
68498,39408.892208,39408.894208,39408.892208
68498,39410.916238,39410.918238,39410.916238
68498,39412.940267,39412.942267,39412.940267
68498,39414.964297,39414.966297,39414.964297
68498,39416.988326,39416.990326,39416.988326
68498,39419.012356,39419.014356,39419.012356
68498,39421.036385,39421.038385,39421.036385
68498,39423.060415,39423.062414,39423.060415
68498,39425.084444,39425.086444,39425.084444
68498,39427.108473,39427.110473,39427.108473
68498,39429.132503,39429.187946,39429.132503
68498,39431.209976,39431.211976,39431.209976
68498,39433.234005,39433.236005,39433.234005
68498,39435.258035,39435.260035,39435.258035
68498,39437.282064,39437.284064,39437.282064
68498,39439.306094,39439.308094,39439.306094
68498,39441.330123,39441.332123,39441.330123
68498,39443.354152,39443.356152,39443.354152
68498,39445.378182,39445.380182,39445.378182
68498,39447.402211,39447.404211,39447.402211
68498,39449.426241,39449.428241,39449.426241
68498,39451.450270,39451.452270,39451.450270
68498,39453.474300,39453.476300,39453.474300
68498,39455.498329,39455.500329,39455.498329
68498,39457.522359,39457.524359,39457.522359
68498,39459.546388,39459.548388,39459.546388
68498,39461.570418,39461.572418,39461.570418
68498,39463.594447,39463.596447,39463.594447
68498,41383.392006,41383.438805,41383.392006
68498,41457.381088,41460.441568,41457.381088
68498,41383.450805,41384.464960,41383.450805
68498,41386.486989,41386.488989,41386.486989
68498,41388.511019,41388.513019,41388.511019
68498,41390.535048,41390.537048,41390.535048
68498,41392.559078,41392.561078,41392.559078
68498,41394.583107,41394.585107,41394.583107
68498,41396.607137,41396.609137,41396.607137
68498,41398.631166,41398.633166,41398.631166
68498,41400.655195,41400.657195,41400.655195
68498,41402.679225,41402.681225,41402.679225
68498,41404.703254,41404.705254,41404.703254
68498,41406.727284,41406.729284,41406.727284
68498,41408.751313,41408.753313,41408.751313
68498,41410.775343,41410.777343,41410.775343
68498,41412.799372,41412.801372,41412.799372
68498,41414.823401,41414.825401,41414.823401
68498,41416.847431,41416.849431,41416.847431
68498,41418.871460,41418.873460,41418.871460
68498,41420.895490,41420.950559,41420.895490
68498,41422.972588,41422.974588,41422.972588
68498,41424.996618,41424.998618,41424.996618
68498,41427.020647,41427.022647,41427.020647
68498,41429.044676,41429.046676,41429.044676
68498,41431.068706,41431.070706,41431.068706
68498,41433.092735,41433.094735,41433.092735
68498,41435.116765,41435.118765,41435.116765
68498,41437.140794,41437.142794,41437.140794
68498,41439.164824,41439.166824,41439.164824
68498,41441.188853,41441.190853,41441.188853
68498,41443.212882,41443.214882,41443.212882
68498,41445.236912,41445.238912,41445.236912
68498,41447.260941,41447.262941,41447.260941
68498,41449.284971,41449.286971,41449.284971
68498,41451.309000,41451.311000,41451.309000
68498,41453.333030,41453.335030,41453.333030
68498,41455.357059,41455.359059,41455.357059
68498,41468.741461,41468.805395,41468.741461
68498,41542.747519,41545.815352,41542.747519
68498,41468.817395,41469.831445,41468.817395
68498,41471.853474,41471.855474,41471.853474
68498,41473.877504,41473.879504,41473.877504
68498,41475.901533,41475.903533,41475.901533
68498,41477.925563,41477.927563,41477.925563
68498,41479.949592,41479.951592,41479.949592
68498,41481.973621,41481.975621,41481.973621
68498,41483.997651,41483.999651,41483.997651
68498,41486.021680,41486.023680,41486.021680
68498,41488.045710,41488.047710,41488.045710
68498,41490.069739,41490.071739,41490.069739
68498,41492.093769,41492.095769,41492.093769
68498,41494.117798,41494.119798,41494.117798
68498,41496.141828,41496.143827,41496.141828
68498,41498.165857,41498.167857,41498.165857
68498,41500.189886,41500.191886,41500.189886
68498,41502.213916,41502.215916,41502.213916
68498,41504.237945,41504.239945,41504.237945
68498,41506.261975,41506.316989,41506.261975
68498,41508.339019,41508.341019,41508.339019
68498,41510.363048,41510.365048,41510.363048
68498,41512.387078,41512.389078,41512.387078
68498,41514.411107,41514.413107,41514.411107
68498,41516.435137,41516.437137,41516.435137
68498,41518.459166,41518.461166,41518.459166
68498,41520.483195,41520.485195,41520.483195
68498,41522.507225,41522.509225,41522.507225
68498,41524.531254,41524.533254,41524.531254
68498,41526.555284,41526.557284,41526.555284
68498,41528.579313,41528.581313,41528.579313
68498,41530.603343,41530.605343,41530.603343
68498,41532.627372,41532.629372,41532.627372
68498,41534.651401,41534.653401,41534.651401
68498,41536.675431,41536.677431,41536.675431
68498,41538.699460,41538.701460,41538.699460
68498,41540.723490,41540.725490,41540.723490
68498,41554.100205,41554.154485,41554.100205
