Run Number,Min Time,Max Time,Zero Time
68498,39391.675889,39391.687889,39391.675889
68498,41383.438805,41383.450805,41383.438805
68498,41468.805395,41468.817395,41468.805395
68498,41554.154485,41554.166485,41554.154485
68498,41639.487085,41639.499085,41639.487085
68498,41724.838935,41724.850935,41724.838935
68498,41810.170285,41810.182285,41810.170285
68498,41895.531895,41895.543895,41895.531895
68498,41980.848755,41980.860755,41980.848755
68498,42066.169115,42066.181115,42066.169115
68498,42151.489975,42151.501975,42151.489975
68498,42355.591475,42355.603475,42355.591475
68498,42440.972055,42440.984055,42440.972055
68498,42526.339905,42526.351905,42526.339905
68498,42611.696005,42611.708005,42611.696005
68498,42697.059605,42697.071605,42697.059605
68498,42782.418975,42782.430975,42782.418975
68498,42867.793575,42867.805575,42867.793575
68498,42953.168935,42953.180935,42953.168935
68498,43038.501305,43038.513305,43038.501305
68498,43123.868165,43123.880165,43123.868165
68498,43434.566655,43434.578655,43434.566655
68498,43519.925495,43519.937495,43519.925495
68498,43605.271085,43605.283085,43605.271085
68498,43690.636445,43690.648445,43690.636445
68498,43775.995285,43776.007285,43775.995285
68498,43861.364655,43861.376655,43861.364655
68498,43946.728005,43946.740005,43946.728005
68498,44032.089125,44032.101125,44032.089125
68498,44117.409235,44117.421235,44117.409235
68498,44202.739345,44202.751345,44202.739345
68498,44514.250235,44514.262235,44514.250235
68498,44599.595315,44599.607315,44599.595315
68498,44684.948915,44684.960915,44684.948915
68498,44770.297265,44770.309265,44770.297265
68498,44855.669875,44855.681875,44855.669875
68498,44941.055475,44941.067475,44941.055475
68498,45026.423585,45026.435585,45026.423585
68498,45111.790935,45111.802935,45111.790935
68498,45197.139035,45197.151035,45197.139035
68498,45282.533155,45282.545155,45282.533155
68498,45589.001445,45589.013445,45589.001445
68498,45674.373545,45674.385545,45674.373545
68498,45759.732135,45759.744135,45759.732135
68498,45845.063235,45845.075235,45845.063235
68498,45930.417605,45930.429605,45930.417605
68498,46015.799445,46015.811445,46015.799445
68498,46101.162305,46101.174305,46101.162305
68498,46186.521655,46186.533655,46186.521655
68498,46271.883525,46271.895525,46271.883525
68498,46357.254625,46357.266625,46357.254625
68498,47733.016905,47733.028905,47733.016905
