Run Number,Plot Time (Time axis of TAPlot),OfficialTime (run time),SIS Channel, SIS Module,Counts
68498,0.0055800999980419874,53078.658861600001,6,0,1
68498,0.0055800999980419874,53078.658861600001,7,0,1
68498,0.0062764999966020696,53078.659557999999,6,0,1
68498,0.0062764999966020696,53078.659557999999,7,0,1
68498,0.018474999997124542,53078.6717565,3,0,1
68498,0.021249199999147095,53078.674530700002,3,0,2
68498,0.022449199997936375,53078.675730700001,3,0,1
68498,0.045934299996588379,53078.699215799999,6,0,1
68498,0.045934299996588379,53078.699215799999,7,0,1
68498,0.052090499993937556,53078.705371999997,3,0,1
68498,0.053661199999623932,53078.706942700002,3,0,1
68498,0.056956000000354834,53078.710237500003,3,0,2
68498,0.057051299998420291,53078.710332800001,3,0,2
68498,0.068838399995001964,53078.722119899998,3,0,1
68498,0.095923000000766478,53078.749204500004,3,0,2
68498,0.10641029999533202,53078.759691799998,3,0,1
68498,0.1205128999936278,53078.773794399996,3,0,1
68498,0.12834619999921415,53078.781627700002,3,0,1
68498,0.13429629999882309,53078.787577800002,6,0,1
68498,0.13429629999882309,53078.787577800002,7,0,1
68498,0.14122679999854881,53078.794508300001,3,0,2
68498,0.14446789999783505,53078.797749400001,3,0,1
68498,0.16534059999685269,53078.8186221,3,0,1
68498,0.16651379999530036,53078.819795299998,3,0,1
68498,0.19438679999439046,53078.847668299997,3,0,1
68498,0.22447789999569068,53078.877759399998,3,0,1
68498,0.22761809999792604,53078.880899600001,3,0,1
68498,0.22888869999587769,53078.882170199999,3,0,1
68498,0.2385428999987198,53078.891824400001,3,0,2
68498,0.24300559999392135,53078.896287099997,6,0,1
68498,0.24300559999392135,53078.896287099997,7,0,1
68498,0.24827449999429518,53078.901555999997,3,0,1
68498,0.25672259999555536,53078.910004099998,3,0,1
68498,0.259072599998035,53078.912354100001,3,0,1
68498,0.26349139999365434,53078.916772899996,3,0,1
68498,0.28683520000049612,53078.940116700003,3,0,1
68498,0.28731709999556188,53078.940598599998,3,0,2
68498,0.29195179999805987,53078.945233300001,3,0,2
68498,0.29243459999997867,53078.945716100003,3,0,2
68498,0.29952039999625413,53078.952801899999,3,0,2
68498,0.30038399999466492,53078.953665499997,3,0,1
68498,0.30344150000018999,53078.956723000003,3,0,1
68498,0.31078119999438059,53078.964062699997,3,0,1
68498,0.32104070000059437,53078.974322200003,6,0,1
68498,0.32104070000059437,53078.974322200003,7,0,1
68498,0.32115820000035455,53078.974439700003,6,0,1
68498,0.32115820000035455,53078.974439700003,7,0,1
68498,0.3313032999940333,53078.984584799997,3,0,1
68498,0.3628205999993952,53079.016102100002,3,0,1
68498,0.4010777999938,53079.054359299997,3,0,1
68498,0.40340889999788487,53079.056690400001,3,0,2
68498,0.40741419999540085,53079.060695699998,3,0,1
68498,0.41121739999653073,53079.064498899999,3,0,2
68498,0.42268389999662759,53079.075965399999,6,0,1
68498,0.42268389999662759,53079.075965399999,7,0,1
68498,0.44333170000027167,53079.096613200003,3,0,2
68498,0.44962839999789139,53079.102909900001,3,0,1
68498,0.45313579999492504,53079.106417299998,3,0,1
