Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68498,760851,0.005580,53078.503031,53078.658862,1, 0, 0, 1,-4.920361,10.066876,-7.231244,-1,2
68498,760852,0.006276,53078.503728,53078.659558,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760853,0.045934,53078.543385,53078.699216,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760854,0.134296,53078.631747,53078.787578,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760855,0.243006,53078.740456,53078.896287,1, 0, 0, 1,-3.079662,2.241958,5.870963,-1,2
68498,760856,0.321041,53078.818491,53078.974322,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760857,0.321158,53078.818609,53078.974440,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760858,0.422684,53078.920134,53079.075965,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760859,0.475498,53078.972948,53079.128780,1, 0, 0, 1,-3.055346,0.452142,3.224159,-1,2
68498,760860,0.643951,53079.141401,53079.297233,1, 0, 0, 1,3.113345,-9.004861,12.794270,-1,2
68498,760861,0.714051,53079.211500,53079.367332,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760862,0.815123,53079.312572,53079.468405,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760863,0.843309,53079.340758,53079.496590,1, 0, 0, 1,2.234551,-7.847156,17.878347,-1,2
68498,760864,1.148594,53079.646043,53079.801876,1, 0, 0, 1,-7.524509,-4.182977,0.023020,-1,2
68498,760865,1.179832,53079.677280,53079.833113,1, 0, 0, 1,0.788570,-6.065709,-21.860253,-1,2
68498,760866,1.182467,53079.679916,53079.835749,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760867,1.281089,53079.778537,53079.934371,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760868,1.443400,53079.940848,53080.096682,1, 0, 0, 1,-0.682104,-3.839877,14.770426,-1,2
68498,760869,1.574126,53080.071574,53080.227408,1, 0, 0, 1,3.104149,-5.052562,10.174497,-1,2
68498,760870,1.718031,53080.215478,53080.371313,1, 0, 0, 1,4.870960,-5.351176,-9.271425,-1,2
68498,760871,1.812788,53080.310235,53080.466070,1, 0, 0, 1,-6.273035,4.639549,-2.845352,-1,2
68498,760872,1.828087,53080.325534,53080.481368,1, 0, 0, 1,-1.936400,-1.106415,-8.026827,-1,2
68498,760873,2.089370,53080.586816,53080.742651,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760874,2.150779,53080.648225,53080.804060,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760875,2.416055,53080.913500,53081.069336,1, 0, 0, 1,-4.140506,3.882322,3.712073,-1,2
68498,760876,2.496865,53080.994310,53081.150146,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760877,2.500188,53080.997634,53081.153470,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760878,2.656605,53081.154050,53081.309887,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760879,2.768004,53081.265449,53081.421285,1, 0, 0, 1,-7.268802,0.821787,14.342337,-1,2
68498,760880,2.914704,53081.412149,53081.567986,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760881,3.100697,53081.598141,53081.753978,1, 0, 0, 1,-1.403027,1.895673,-7.510930,-1,2
68498,760882,3.114799,53081.612243,53081.768081,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760883,3.123918,53081.621362,53081.777200,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760884,3.187433,53081.684877,53081.840714,1, 0, 0, 1,5.777257,-2.871977,-7.519723,-1,2
68498,760885,3.193041,53081.690485,53081.846323,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760886,3.213383,53081.710827,53081.866665,1, 0, 0, 1,-3.577274,3.315361,-12.819586,-1,10
68498,760887,3.585789,53082.083232,53082.239070,1, 0, 0, 1,7.090782,2.226840,-5.910789,-1,2
68498,760888,3.605534,53082.102977,53082.258815,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760889,3.637444,53082.134887,53082.290726,1, 0, 0, 1,0.032592,0.016720,1.054226,-1,2
68498,760890,3.648609,53082.146052,53082.301890,1, 0, 0, 1,-4.135295,1.818530,-19.431950,-1,2
68498,760891,3.682799,53082.180242,53082.336081,1, 0, 0, 1,1.763734,2.166512,7.197105,-1,2
68498,760892,3.737016,53082.234459,53082.390297,1, 0, 0, 1,-2.129886,2.709289,18.996979,-1,2
68498,760893,3.742357,53082.239800,53082.395638,1, 0, 0, 1,5.585626,-2.689910,-13.221034,-1,2
68498,760894,3.811951,53082.309393,53082.465232,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760895,3.963369,53082.460812,53082.616651,1, 0, 0, 1,-7.062780,4.488952,-11.246226,-1,2
68498,760896,4.043574,53082.541016,53082.696855,1, 0, 0, 1,4.001879,-10.013681,2.784134,-1,2
68498,760897,4.101818,53082.599261,53082.755100,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760898,4.330502,53082.827944,53082.983784,1, 0, 0, 1,-0.550043,6.994089,16.930041,-1,2
68498,760899,4.390037,53082.887478,53083.043319,1, 0, 0, 1,-4.943362,6.357503,-20.626148,-1,2
68498,760900,4.402836,53082.900277,53083.056117,1, 0, 0, 1,-3.579570,-5.944008,5.721210,-1,2
68498,760901,4.413070,53082.910512,53083.066352,1, 1, 1, 1,2.120103,0.683451,20.886101,-1,3
68498,760902,4.428543,53082.925984,53083.081824,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760903,4.492717,53082.990158,53083.145998,1, 0, 0, 1,-5.764067,3.318251,-1.723176,-1,2
68498,760904,4.521430,53083.018871,53083.174711,1, 0, 0, 1,-7.413907,-0.161568,-4.347634,-1,2
68498,760905,4.525039,53083.022481,53083.178321,1, 0, 0, 1,-1.741652,5.755320,-12.098350,-1,2
68498,760906,4.542350,53083.039791,53083.195631,1, 0, 0, 1,-3.321694,-3.366221,-6.938418,-1,2
68498,760907,4.567266,53083.064707,53083.220547,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760908,4.659017,53083.156458,53083.312299,1, 0, 0, 1,-1.185746,2.264231,9.182338,-1,2
68498,760909,4.749270,53083.246711,53083.402552,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760910,4.776508,53083.273948,53083.429789,1, 0, 0, 1,-0.595118,-5.333238,-13.122045,-1,2
68498,760911,4.785298,53083.282738,53083.438579,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,760912,4.881674,53083.379114,53083.534955,1, 0, 0, 1,2.404237,4.997431,15.054053,-1,2
68498,760913,4.929147,53083.426587,53083.582428,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760914,5.003693,53083.501133,53083.656974,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760915,5.018767,53083.516207,53083.672049,1, 0, 0, 1,0.283488,2.591997,-14.335709,-1,2
68498,760916,5.079600,53083.577040,53083.732881,1, 0, 0, 1,-2.167086,3.211744,-2.147465,-1,2
68498,760917,5.281732,53083.779172,53083.935014,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,760918,5.308579,53083.806018,53083.961861,1, 0, 0, 1,0.627359,5.478778,-11.366094,-1,2
68498,760919,5.329325,53083.826764,53083.982606,1, 0, 0, 1,7.509052,-8.431352,19.017107,-1,2
68498,760920,5.395510,53083.892949,53084.048792,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
