Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68498,776345,0.198858,54630.667933,54630.827168,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776346,0.345064,54630.814139,54630.973374,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776347,0.447320,54630.916395,54631.075630,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776348,0.579779,54631.048854,54631.208090,1, 0, 0, 1,4.387055,-4.177955,-8.456872,-1,3
68498,776349,0.778545,54631.247620,54631.406856,1, 0, 0, 1,-6.880468,4.845855,-7.363670,-1,2
68498,776350,0.824627,54631.293701,54631.452937,1, 0, 0, 1,-1.616302,0.514079,11.381451,-1,2
68498,776351,0.829112,54631.298187,54631.457423,1, 0, 0, 1,-6.330572,1.630191,-5.602481,-1,2
68498,776352,0.962777,54631.431851,54631.591088,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776353,0.994212,54631.463286,54631.622522,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776354,1.099000,54631.568074,54631.727310,1, 0, 0, 1,-5.889487,4.995089,-12.906226,-1,2
68498,776355,1.300046,54631.769119,54631.928356,1, 0, 0, 1,-5.803096,-8.559418,19.629960,-1,2
68498,776356,1.395744,54631.864817,54632.024054,1, 0, 0, 1,6.880212,-0.855328,15.354658,-1,2
68498,776357,1.480930,54631.950003,54632.109241,1, 0, 0, 1,-2.968476,2.058767,-18.853682,-1,2
68498,776358,1.556418,54632.025490,54632.184728,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776359,1.744363,54632.213435,54632.372673,1, 0, 0, 1,-5.079127,1.527888,19.267365,-1,2
68498,776360,1.750780,54632.219852,54632.379090,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776361,1.823091,54632.292163,54632.451401,1, 0, 0, 1,-0.805238,3.720921,5.533710,-1,2
68498,776362,1.912655,54632.381727,54632.540965,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776363,2.023145,54632.492216,54632.651455,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776364,2.102123,54632.571195,54632.730434,1, 0, 0, 1,4.092719,6.442020,-19.853011,-1,2
68498,776365,2.182514,54632.651585,54632.810824,1, 0, 0, 1,-6.344244,3.988393,2.802058,-1,2
68498,776366,2.216631,54632.685702,54632.844941,1, 0, 0, 1,-1.629710,-0.084827,-15.038687,-1,2
68498,776367,2.304090,54632.773161,54632.932400,1, 0, 0, 1,2.878031,-8.217334,15.695094,-1,2
68498,776368,2.338792,54632.807863,54632.967103,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776369,2.458746,54632.927817,54633.087056,1, 0, 0, 1,-3.237424,-1.562252,-0.747162,-1,2
68498,776370,2.560064,54633.029134,54633.188374,1, 0, 0, 1,-6.341175,1.934255,-2.583923,-1,2
68498,776371,2.652138,54633.121208,54633.280448,1, 0, 0, 1,2.347518,-5.232087,-6.069764,-1,2
68498,776372,2.833636,54633.302706,54633.461947,1, 0, 0, 1,2.623079,4.163649,1.597106,-1,2
68498,776373,2.971246,54633.440316,54633.599557,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,776374,3.323262,54633.792330,54633.951572,1, 0, 0, 1,-3.163450,2.844289,-17.158667,-1,2
68498,776375,3.365357,54633.834425,54633.993667,1, 0, 0, 1,-7.650480,3.236184,-12.943429,-1,2
68498,776376,3.463057,54633.932125,54634.091367,1, 0, 0, 1,-6.997250,2.559588,-18.108074,-1,2
68498,776377,3.506200,54633.975269,54634.134510,1, 0, 0, 1,-7.776056,5.458772,-13.122574,-1,2
68498,776378,3.511452,54633.980521,54634.139762,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776379,3.543217,54634.012285,54634.171527,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,776380,3.584775,54634.053843,54634.213085,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
