Run Number,Min Time,Max Time,Zero Time
68498,39394.726002,39396.748031,39394.726002
68498,39421.038385,39423.060415,39421.038385
68498,39431.211976,39433.234005,39431.211976
68498,39457.524359,39459.546388,39457.524359
68498,41386.488989,41388.511019,41386.488989
68498,41412.801372,41414.823401,41412.801372
68498,41422.974588,41424.996618,41422.974588
68498,41449.286971,41451.309000,41449.286971
68498,41471.855474,41473.877504,41471.855474
68498,41498.167857,41500.189886,41498.167857
68498,41508.341019,41510.363048,41508.341019
68498,41534.653401,41536.675431,41534.653401
68498,41557.204694,41559.226724,41557.204694
68498,41583.517077,41585.539107,41583.517077
68498,41593.690293,41595.712323,41593.690293
68498,41620.002676,41622.024705,41620.002676
68498,41642.537199,41644.559228,41642.537199
68498,41668.849581,41670.871611,41668.849581
68498,41679.023225,41681.045255,41679.023225
68498,41705.335608,41707.357637,41705.335608
68498,41727.889170,41729.911200,41727.889170
68498,41754.201553,41756.223583,41754.201553
68498,41764.374779,41766.396809,41764.374779
68498,41790.687162,41792.709192,41790.687162
68498,41813.220494,41815.242523,41813.220494
68498,41839.532877,41841.554906,41839.532877
68498,41849.706164,41851.728194,41849.706164
68498,41876.018547,41878.040576,41876.018547
68498,41898.582099,41900.604128,41898.582099
68498,41924.894482,41926.916511,41924.894482
68498,41935.067770,41937.089800,41935.067770
68498,41961.380153,41963.402183,41961.380153
68498,41983.898851,41985.920881,41983.898851
68498,42010.211234,42012.233263,42010.211234
68498,42020.384501,42022.406530,42020.384501
68498,42046.696884,42048.718913,42046.696884
68498,42069.219430,42071.241459,42069.219430
68498,42095.531812,42097.553842,42095.531812
68498,42105.705211,42107.727240,42105.705211
68498,42132.017594,42134.039623,42132.017594
68498,42154.540109,42156.562139,42154.540109
68498,42180.852492,42182.874522,42180.852492
68498,42191.026415,42193.048444,42191.026415
68498,42217.338798,42219.360827,42217.338798
68498,42358.641808,42360.663838,42358.641808
68498,42384.954192,42386.976221,42384.954192
68498,42395.127503,42397.149533,42395.127503
68498,42421.439886,42423.461916,42421.439886
68498,42444.022339,42446.044369,42444.022339
68498,42470.334722,42472.356752,42470.334722
68498,42480.508012,42482.530041,42480.508012
68498,42506.820394,42508.842424,42506.820394
68498,42529.390003,42531.412032,42529.390003
68498,42555.702386,42557.724415,42555.702386
68498,42565.875689,42567.897718,42565.875689
68498,42592.188071,42594.210101,42592.188071
68498,42614.746121,42616.768151,42614.746121
68498,42641.058504,42643.080534,42641.058504
68498,42651.231852,42653.253882,42651.231852
68498,42677.544235,42679.566265,42677.544235
68498,42700.110179,42702.132208,42700.110179
68498,42726.422562,42728.444591,42726.422562
68498,42736.595793,42738.617822,42736.595793
68498,42762.908176,42764.930205,42762.908176
68498,42785.469152,42787.491182,42785.469152
68498,42811.781535,42813.803564,42811.781535
68498,42821.954896,42823.976925,42821.954896
68498,42848.267279,42850.289308,42848.267279
68498,42870.843989,42872.866019,42870.843989
68498,42897.156372,42899.178401,42897.156372
68498,42907.329774,42909.351804,42907.329774
68498,42933.642157,42935.664186,42933.642157
68498,42956.219228,42958.241257,42956.219228
68498,42982.531610,42984.553640,42982.531610
68498,42992.705098,42994.727128,42992.705098
68498,43019.017481,43021.039510,43019.017481
68498,43041.551505,43043.573534,43041.551505
68498,43067.863888,43069.885917,43067.863888
68498,43078.037200,43080.059230,43078.037200
68498,43104.349583,43106.371613,43104.349583
68498,43126.918319,43128.940349,43126.918319
68498,43153.230702,43155.252732,43153.230702
68498,43163.404021,43165.426050,43163.404021
68498,43189.716404,43191.738433,43189.716404
68498,43437.616853,43439.638882,43437.616853
68498,43463.929236,43465.951266,43463.929236
68498,43474.102521,43476.124550,43474.102521
68498,43500.414904,43502.436934,43500.414904
68498,43522.975641,43524.997671,43522.975641
68498,43549.288024,43551.310054,43549.288024
68498,43559.461412,43561.483442,43559.461412
68498,43585.773795,43587.795824,43585.773795
68498,43608.321344,43610.343374,43608.321344
68498,43634.633727,43636.655756,43634.633727
68498,43644.807186,43646.829215,43644.807186
68498,43671.119568,43673.141598,43671.119568
68498,43693.686804,43695.708834,43693.686804
68498,43719.999187,43722.021217,43719.999187
68498,43730.172786,43732.194815,43730.172786
68498,43756.485169,43758.507198,43756.485169
68498,43779.045447,43781.067477,43779.045447
68498,43805.357830,43807.379859,43805.357830
68498,43815.531278,43817.553307,43815.531278
68498,43841.843661,43843.865690,43841.843661
68498,43864.414795,43866.436825,43864.414795
68498,43890.727178,43892.749208,43890.727178
68498,43900.900555,43902.922585,43900.900555
68498,43927.212939,43929.234968,43927.212939
68498,43949.778098,43951.800127,43949.778098
68498,43976.090481,43978.112510,43976.090481
68498,43986.263779,43988.285809,43986.263779
68498,44012.576162,44014.598192,44012.576162
68498,44035.139327,44037.161357,44035.139327
68498,44061.451710,44063.473740,44061.451710
68498,44071.624870,44073.646899,44071.624870
68498,44097.937253,44099.959282,44097.937253
68498,44120.459466,44122.481496,44120.459466
68498,44146.771849,44148.793879,44146.771849
68498,44156.945118,44158.967147,44156.945118
68498,44183.257501,44185.279530,44183.257501
68498,44205.789532,44207.811562,44205.789532
68498,44232.101916,44234.123945,44232.101916
68498,44242.275223,44244.297253,44242.275223
68498,44268.587606,44270.609636,44268.587606
68498,44517.300458,44519.322488,44517.300458
68498,44543.612842,44545.634871,44543.612842
68498,44553.786266,44555.808296,44553.786266
68498,44580.098650,44582.120679,44580.098650
68498,44602.646046,44604.668075,44602.646046
68498,44628.958429,44630.980459,44628.958429
68498,44639.131749,44641.153779,44639.131749
68498,44665.444133,44667.466162,44665.444133
