Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68498,629055,0.012868,39408.779623,39408.907076,1, 0, 0, 1,-1.015944,-7.011509,6.508555,-1,2
68498,629056,0.034157,39408.800912,39408.928365,1, 0, 0, 1,-5.167071,-7.526548,-17.264261,-1,2
68498,629057,0.282084,39409.048838,39409.176292,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629058,0.431838,39409.198592,39409.326046,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629059,0.453342,39409.220096,39409.347550,1, 0, 0, 1,-0.524221,-4.890149,9.959207,-1,2
68498,629060,0.803514,39409.570267,39409.697722,1, 0, 0, 1,3.689120,-8.444175,7.885611,-1,2
68498,629061,0.995753,39409.762506,39409.889961,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629062,1.107643,39409.874396,39410.001851,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629063,1.375344,39410.142096,39410.269552,1, 0, 0, 1,0.325600,-1.955120,-15.618258,-1,2
68498,629064,1.406438,39410.173190,39410.300646,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629065,1.595528,39410.362279,39410.489736,1, 0, 0, 1,-4.847864,-7.753226,-14.411230,-1,3
68498,629066,1.645027,39410.411778,39410.539235,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629067,1.654253,39410.421005,39410.548461,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629068,1.723013,39410.489764,39410.617221,1, 0, 0, 1,2.680658,5.228692,19.342983,-1,2
68498,629069,1.887470,39410.654221,39410.781678,1, 0, 0, 1,8.912854,0.463561,-7.826782,-1,2
68498,629070,1.999107,39410.765857,39410.893315,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629202,0.080767,39425.039726,39425.167211,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629203,0.130991,39425.089950,39425.217435,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629204,0.329892,39425.288850,39425.416336,1, 0, 0, 1,6.061703,2.997729,0.825114,-1,3
68498,629205,0.699137,39425.658094,39425.785581,1, 0, 0, 1,0.175844,-4.096907,0.230162,-1,2
68498,629206,0.740377,39425.699335,39425.826821,1, 0, 0, 1,7.229964,-4.988795,20.454990,-1,2
68498,629207,0.837386,39425.796344,39425.923830,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629208,1.027022,39425.985979,39426.113466,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629209,1.062026,39426.020983,39426.148470,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629210,1.174161,39426.133118,39426.260605,1, 0, 0, 1,0.850927,8.381703,-2.506052,-1,2
68498,629211,1.208325,39426.167282,39426.294769,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629212,1.231188,39426.190144,39426.317632,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629213,1.298637,39426.257593,39426.385081,1, 0, 0, 1,0.521167,0.274459,8.296262,-1,2
68498,629214,1.599956,39426.558912,39426.686400,1, 0, 0, 1,6.469928,-2.800533,5.367641,-1,2
68498,629215,1.627810,39426.586766,39426.714254,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629216,1.764347,39426.723303,39426.850791,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629217,1.860131,39426.819087,39426.946575,1, 0, 0, 1,0.476958,-3.822626,5.505211,-1,2
68498,629218,1.893647,39426.852603,39426.980091,1, 0, 0, 1,2.782324,-3.302348,-4.616703,-1,2
68498,629403,0.136849,39445.389506,39445.517031,1, 0, 0, 1,-6.595987,3.706181,-3.689840,-1,2
68498,629404,0.296518,39445.549175,39445.676700,1, 0, 0, 1,3.263367,6.388088,13.648572,-1,2
68498,629405,0.441951,39445.694608,39445.822133,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629406,0.566573,39445.819229,39445.946755,1, 0, 0, 1,1.504263,0.626814,11.665451,-1,2
68498,629407,0.570566,39445.823222,39445.950748,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629408,0.613823,39445.866479,39445.994005,1, 0, 0, 1,-3.031345,3.757162,-2.898869,-1,2
68498,629409,0.615986,39445.868642,39445.996168,1, 0, 0, 1,1.652814,-5.566566,-16.105995,-1,2
68498,629410,0.934986,39446.187642,39446.315168,1, 0, 0, 1,-0.113759,-4.294763,-11.439553,-1,2
68498,629411,1.306822,39446.559477,39446.687004,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629412,1.337051,39446.589706,39446.717233,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629413,1.387090,39446.639745,39446.767272,1, 0, 0, 1,-1.662349,3.277289,-5.049562,-1,2
68498,629414,1.420626,39446.673281,39446.800808,1, 0, 0, 1,7.507765,-1.956141,20.624184,-1,2
68498,629415,1.706183,39446.958837,39447.086365,1, 0, 0, 1,-4.811423,0.721613,-6.658081,-1,2
68498,629416,1.865842,39447.118496,39447.246024,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68498,629417,1.909175,39447.161829,39447.289357,1, 0, 0, 1,5.355847,0.567896,-2.746878,-1,2
68498,629418,1.917857,39447.170511,39447.298039,1, 0, 0, 1,-9.322311,8.955553,-2.944331,-1,2
68498,629419,1.924338,39447.176992,39447.304520,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629547,0.023749,39461.468610,39461.596167,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68498,629548,0.133389,39461.578251,39461.705807,1, 0, 0, 1,4.646423,-4.218383,10.476083,-1,4
68498,629549,0.185427,39461.630288,39461.757845,1, 0, 0, 1,-3.428086,-1.608426,-13.405264,-1,2
