Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68506,770402,0.164287,51745.188171,51745.296255,1, 0, 0, 1,3.332356,14.560313,3.098314,-1,2
68506,770403,0.173059,51745.196943,51745.305027,1, 0, 0, 1,-3.919802,7.197021,-16.369550,-1,2
68506,770404,0.272708,51745.296592,51745.404676,1, 0, 0, 1,-4.390627,-3.788906,7.068853,-1,2
68506,770405,0.275769,51745.299653,51745.407737,1, 0, 0, 1,-8.203183,-13.025979,-9.025804,-1,2
68506,770406,0.293921,51745.317805,51745.425889,1, 0, 0, 1,6.041567,3.248886,-0.599475,-1,2
68506,770407,0.340936,51745.364820,51745.472904,1, 0, 0, 1,0.679433,-1.690109,1.292632,-1,2
68506,770408,0.355773,51745.379657,51745.487742,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770409,0.371473,51745.395357,51745.503441,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770410,0.376281,51745.400165,51745.508249,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770411,0.464619,51745.488503,51745.596587,1, 0, 0, 1,-2.870559,-1.719890,4.934215,-1,3
68506,770412,0.519987,51745.543870,51745.651955,1, 0, 0, 1,0.012371,4.906255,13.934481,-1,2
68506,770413,0.695240,51745.719123,51745.827208,1, 0, 0, 1,1.130588,-10.130394,16.960094,-1,2
68506,770414,0.743625,51745.767508,51745.875593,1, 1, 1, 1,2.525009,2.879540,4.242284,-1,5
68506,770415,0.895290,51745.919173,51746.027258,1, 0, 0, 1,-3.395767,5.172229,-19.028540,-1,2
68506,770416,0.896430,51745.920313,51746.028398,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770417,1.092830,51746.116713,51746.224798,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770418,1.117723,51746.141605,51746.249691,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
