Run Number,Min Time,Max Time,Zero Time
68506,51751.204058,51753.226088,51751.204058
68506,51773.468386,51775.490416,51773.468386
68506,51799.834100,51801.856130,51799.834100
68506,51822.098429,51824.120459,51822.098429
68506,51860.849611,51862.871640,51860.849611
68506,51883.113939,51885.135969,51883.113939
68506,51909.479403,51911.501433,51909.479403
68506,51931.743731,51933.765761,51931.743731
68506,51970.504424,51972.526454,51970.504424
68506,51992.768752,51994.790782,51992.768752
68506,52019.134437,52021.156467,52019.134437
68506,52041.398766,52043.420796,52041.398766
68506,52080.149304,52082.171334,52080.149304
68506,52102.413632,52104.435662,52102.413632
68506,52128.780046,52130.802076,52128.780046
68506,52151.044375,52153.066404,52151.044375
68506,52189.831020,52191.853050,52189.831020
68506,52212.095349,52214.117378,52212.095349
68506,52238.460931,52240.482961,52238.460931
68506,52260.725260,52262.747290,52260.725260
68506,52299.491464,52301.513494,52299.491464
68506,52321.755792,52323.777822,52321.755792
68506,52348.121321,52350.143351,52348.121321
68506,52370.385650,52372.407680,52370.385650
68506,52409.132864,52411.154894,52409.132864
68506,52431.397193,52433.419222,52431.397193
68506,52457.762812,52459.784842,52457.762812
68506,52480.027141,52482.049171,52480.027141
68506,52518.791422,52520.813452,52518.791422
68506,52541.055751,52543.077781,52541.055751
68506,52567.421463,52569.443493,52567.421463
68506,52589.685792,52591.707822,52589.685792
68506,52628.433436,52630.455466,52628.433436
68506,52650.697765,52652.719795,52650.697765
68506,52677.063472,52679.085502,52677.063472
68506,52699.327801,52701.349831,52699.327801
68506,52738.097597,52740.119626,52738.097597
68506,52760.361925,52762.383955,52760.361925
68506,52786.727499,52788.749529,52786.727499
68506,52808.991828,52811.013858,52808.991828
68506,53340.378760,53342.400789,53340.378760
68506,53362.643088,53364.665118,53362.643088
68506,53389.008619,53391.030649,53389.008619
68506,53411.272948,53413.294978,53411.272948
68506,53450.020756,53452.042786,53450.020756
68506,53472.285085,53474.307115,53472.285085
68506,53498.650728,53500.672758,53498.650728
68506,53520.915057,53522.937087,53520.915057
68506,53559.657657,53561.679687,53559.657657
68506,53581.921986,53583.944016,53581.921986
68506,53608.287685,53610.309715,53608.287685
68506,53630.552013,53632.574043,53630.552013
68506,53669.302818,53671.324848,53669.302818
68506,53691.567147,53693.589177,53691.567147
68508,558.398893,560.420923,558.398893
68508,580.663222,582.685252,580.663222
68508,607.028857,609.050887,607.028857
68508,629.293186,631.315216,629.293186
68508,668.066496,670.088525,668.066496
68508,690.330825,692.352854,690.330825
68508,716.696386,718.718415,716.696386
68508,738.960714,740.982744,738.960714
68508,777.711995,779.734025,777.711995
68508,799.976324,801.998354,799.976324
68508,826.341941,828.363971,826.341941
68508,848.606270,850.628299,848.606270
68508,887.363232,889.385262,887.363232
68508,909.627561,911.649591,909.627561
68508,935.993052,938.015081,935.993052
68508,958.257380,960.279410,958.257380
68508,997.008253,999.030282,997.008253
68508,1019.272581,1021.294611,1019.272581
68508,1045.638383,1047.660413,1045.638383
68508,1067.902712,1069.924742,1067.902712
68508,1106.667133,1108.689163,1106.667133
68508,1128.931462,1130.953491,1128.931462
68508,1155.297005,1157.319035,1155.297005
68508,1177.561334,1179.583364,1177.561334
68508,1216.278200,1218.300230,1216.278200
68508,1238.542529,1240.564558,1238.542529
68508,1264.908614,1266.930644,1264.908614
68508,1287.172943,1289.194973,1287.172943
68508,1325.934779,1327.956809,1325.934779
68508,1348.199108,1350.221138,1348.199108
68508,1374.564539,1376.586569,1374.564539
68508,1396.828868,1398.850898,1396.828868
68508,1435.586617,1437.608647,1435.586617
68508,1457.850946,1459.872976,1457.850946
68508,1484.216541,1486.238571,1484.216541
68508,1506.480870,1508.502900,1506.480870
68508,1545.192495,1547.214525,1545.192495
68508,1567.456824,1569.478854,1567.456824
68508,1593.822414,1595.844444,1593.822414
68508,1616.086742,1618.108772,1616.086742
68508,1714.128063,1716.150093,1714.128063
68508,1736.392392,1738.414422,1736.392392
68508,1762.757935,1764.779965,1762.757935
68508,1785.022264,1787.044294,1785.022264
68508,1823.762649,1825.784678,1823.762649
68508,1846.026977,1848.049007,1846.026977
68508,1872.392651,1874.414681,1872.392651
68508,1894.656980,1896.679009,1894.656980
68508,1933.391439,1935.413469,1933.391439
68508,1955.655768,1957.677797,1955.655768
68508,1982.021309,1984.043339,1982.021309
68508,2004.285637,2006.307667,2004.285637
68508,2043.079766,2045.101795,2043.079766
68508,2065.344094,2067.366124,2065.344094
68508,2091.709619,2093.731648,2091.709619
68508,2113.973947,2115.995977,2113.973947
68508,2152.747254,2154.769284,2152.747254
68508,2175.011583,2177.033613,2175.011583
68508,2201.377202,2203.399232,2201.377202
68508,2223.641531,2225.663561,2223.641531
68508,2262.365635,2264.387665,2262.365635
68508,2284.629964,2286.651994,2284.629964
68508,2310.995542,2313.017572,2310.995542
68508,2333.259871,2335.281901,2333.259871
68508,2372.035216,2374.057246,2372.035216
68508,2394.299545,2396.321575,2394.299545
68508,2420.665086,2422.687115,2420.665086
68508,2442.929414,2444.951444,2442.929414
68508,2481.721086,2483.743116,2481.721086
68508,2503.985415,2506.007445,2503.985415
68508,2530.350918,2532.372948,2530.350918
68508,2552.615247,2554.637276,2552.615247
68508,2591.400109,2593.422139,2591.400109
68508,2613.664438,2615.686468,2613.664438
68508,2640.029947,2642.051976,2640.029947
68508,2662.294276,2664.316305,2662.294276
68508,2701.080312,2703.102342,2701.080312
68508,2723.344641,2725.366671,2723.344641
68508,2749.710113,2751.732143,2749.710113
68508,2771.974442,2773.996472,2771.974442
68508,3245.026509,3247.048539,3245.026509
68508,3267.290839,3269.312869,3267.290839
68508,3293.656377,3295.678407,3293.656377
68508,3315.920706,3317.942736,3315.920706
68508,3354.677673,3356.699703,3354.677673
68508,3376.942002,3378.964033,3376.942002
68508,3403.307451,3405.329481,3403.307451
68508,3425.571780,3427.593810,3425.571780
68508,3464.337535,3466.359565,3464.337535
68508,3486.601864,3488.623894,3486.601864
68508,3512.967323,3514.989353,3512.967323
68508,3535.231652,3537.253682,3535.231652
68508,3573.990918,3576.012948,3573.990918
68508,3596.255248,3598.277277,3596.255248
68508,3622.620776,3624.642806,3622.620776
68508,3644.885106,3646.907136,3644.885106
68508,3683.637723,3685.659753,3683.637723
68508,3705.902052,3707.924082,3705.902052
68508,3732.267671,3734.289701,3732.267671
68508,3754.532001,3756.554031,3754.532001
68508,3793.303662,3795.325692,3793.303662
68508,3815.567992,3817.590022,3815.567992
68508,3841.933438,3843.955468,3841.933438
68508,3864.197767,3866.219797,3864.197767
68508,3902.955527,3904.977557,3902.955527
68508,3925.219857,3927.241887,3925.219857
68508,3951.585510,3953.607539,3951.585510
68508,3973.849839,3975.871869,3973.849839
68508,4012.618219,4014.640249,4012.618219
68508,4034.882548,4036.904578,4034.882548
68508,4061.248021,4063.270051,4061.248021
68508,4083.512351,4085.534381,4083.512351
68508,4122.265699,4124.287729,4122.265699
68508,4144.530029,4146.552058,4144.530029
68508,4170.895565,4172.917595,4170.895565
68508,4193.159894,4195.181924,4193.159894
68508,4231.910110,4233.932140,4231.910110
68508,4254.174440,4256.196470,4254.174440
68508,4280.539856,4282.561886,4280.539856
68508,4302.804186,4304.826215,4302.804186
