Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68506,770574,0.059219,51761.275306,51761.383427,1, 0, 0, 1,-0.256139,5.432092,18.735544,-1,2
68506,770575,0.120275,51761.336361,51761.444482,1, 0, 0, 1,-1.568284,1.193460,-5.030080,-1,2
68506,770576,0.204368,51761.420454,51761.528575,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68506,770577,0.253632,51761.469718,51761.577840,1, 0, 0, 1,2.706743,-6.215691,-10.812320,-1,2
68506,770578,0.398809,51761.614895,51761.723017,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770579,0.504958,51761.721043,51761.829165,1, 0, 0, 1,8.926683,-0.024192,-13.668850,-1,2
68506,770580,0.868547,51762.084632,51762.192754,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770581,0.871775,51762.087860,51762.195982,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68506,770582,0.938946,51762.155031,51762.263153,1, 0, 0, 1,7.846328,-4.731496,9.474565,-1,2
68506,770583,1.094767,51762.310851,51762.418974,1, 0, 0, 1,-1.675268,0.254907,-12.783681,-1,2
68506,770584,1.118032,51762.334116,51762.442239,1, 0, 0, 1,4.374865,-1.561354,-6.857230,-1,2
68506,770585,1.286479,51762.502563,51762.610686,1, 0, 0, 1,7.382309,-0.940287,-15.183928,-1,2
68506,770586,1.344853,51762.560937,51762.669060,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770587,1.372047,51762.588131,51762.696254,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68506,770588,1.867625,51763.083708,51763.191832,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770589,1.882360,51763.098442,51763.206567,1, 0, 0, 1,0.837144,1.609596,-7.286719,-1,2
68506,770590,1.911242,51763.127324,51763.235449,1, 0, 0, 1,-2.764512,0.273553,15.581673,-1,2
68506,770591,1.987670,51763.203752,51763.311877,1, 0, 0, 1,5.979338,-5.889851,-3.279470,-1,2
68506,770821,0.048458,51787.576872,51787.685054,1, 0, 0, 1,5.936062,-1.243507,-4.385219,-1,2
68506,770822,0.154105,51787.682519,51787.790701,1, 0, 0, 1,1.213192,3.149548,0.541059,-1,2
68506,770823,0.421388,51787.949802,51788.057984,1, 0, 0, 1,-7.259626,3.181253,6.840053,-1,2
68506,770824,0.478787,51788.007200,51788.115383,1, 0, 0, 1,-6.315980,3.892626,10.834401,-1,2
68506,770825,0.613691,51788.142104,51788.250286,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68506,770826,0.638213,51788.166626,51788.274809,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770827,0.643242,51788.171655,51788.279838,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770828,0.671014,51788.199427,51788.307610,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770829,0.688078,51788.216491,51788.324673,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770830,0.773222,51788.301634,51788.409817,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770831,1.154269,51788.682681,51788.790865,1, 0, 0, 1,-1.831532,3.067655,-11.955380,-1,2
68506,770832,1.172954,51788.701366,51788.809550,1, 0, 0, 1,-6.790314,-1.287480,5.708344,-1,2
68506,770833,1.246780,51788.775191,51788.883375,1, 0, 0, 1,0.557603,-0.815322,-5.394742,-1,2
68506,770834,1.266816,51788.795227,51788.903411,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770835,1.530789,51789.059200,51789.167385,1, 0, 0, 1,-0.953508,1.218017,-14.928844,-1,2
