Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68506,770592,0.029972,51763.270084,51763.378209,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770593,0.098133,51763.338245,51763.446370,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770594,0.118254,51763.358365,51763.466491,1, 0, 0, 1,-2.561890,6.992745,-7.920577,-1,2
68506,770595,0.143686,51763.383798,51763.491923,1, 0, 0, 1,1.237580,2.497135,-12.878851,-1,2
68506,770596,0.193840,51763.433951,51763.542077,1, 0, 0, 1,0.058732,-10.126233,20.823852,-1,2
68506,770597,0.243440,51763.483551,51763.591677,1, 0, 0, 1,-4.314515,-2.212029,8.629815,-1,2
68506,770598,0.491848,51763.731959,51763.840085,1, 0, 0, 1,1.193244,3.418979,-6.543571,-1,2
68506,770599,0.567210,51763.807321,51763.915447,1, 0, 0, 1,-5.600098,5.213616,-0.689331,-1,2
68506,770600,0.667135,51763.907246,51764.015372,1, 0, 0, 1,4.865393,-0.126729,-0.968718,-1,2
68506,770601,1.214845,51764.454954,51764.563082,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770602,1.544123,51764.784231,51764.892360,1, 0, 0, 1,-3.753781,-6.980366,6.393504,-1,2
68506,770603,1.816722,51765.056830,51765.164959,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68506,770798,0.108222,51785.612611,51785.720788,1, 0, 0, 1,1.611198,-0.853217,-22.614325,-1,2
68506,770799,0.236819,51785.741208,51785.849385,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68506,770800,0.325230,51785.829618,51785.937795,1, 0, 0, 1,-2.898447,7.381011,-7.809430,-1,3
68506,770801,0.433579,51785.937968,51786.046145,1, 0, 0, 1,2.054969,1.114453,-4.523246,-1,2
68506,770802,0.447616,51785.952004,51786.060181,1, 0, 0, 1,-6.452020,-2.050537,0.630913,-1,2
68506,770803,0.562837,51786.067225,51786.175402,1, 0, 0, 1,-1.618762,2.859789,-1.717577,-1,2
68506,770804,0.653294,51786.157682,51786.265860,1, 0, 0, 1,-5.692957,-2.301884,-10.543592,-1,2
68506,770805,0.845169,51786.349556,51786.457735,1, 0, 0, 1,5.279387,1.512446,-7.728462,-1,2
68506,770806,0.845877,51786.350264,51786.458442,1, 0, 0, 1,3.610970,1.465444,-2.967749,-1,2
68506,770807,0.869253,51786.373640,51786.481819,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68506,770808,0.883214,51786.387601,51786.495779,1, 0, 0, 1,-3.124505,-4.234079,-16.339136,-1,2
