Run Number,Event Number,Plot Time (Time axis of TAPlot),Detector Time (detectors internal clock),OfficialTime (run time),CutsType0,CutsType1,CutsType2,Vertex Status,X,Y,Z,Number of Helices,Number of Tracks
68508,51233,0.028559,5407.513808,5407.536215,1, 0, 0, 1,-3.225377,-4.631151,-14.540831,-1,2
68508,51234,0.080998,5407.566248,5407.588654,1, 0, 0, 1,1.834252,-8.201782,18.517329,-1,2
68508,51235,0.180835,5407.666085,5407.688491,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68508,51236,0.229732,5407.714981,5407.737388,1, 0, 0, 1,6.748084,1.420617,-18.488410,-1,2
68508,51237,0.298102,5407.783351,5407.805758,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68508,51238,0.330109,5407.815358,5407.837765,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68508,51239,0.421884,5407.907133,5407.929540,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68508,51240,0.451877,5407.937125,5407.959533,1, 0, 0, 1,-9.115645,5.240777,11.110608,-1,2
68508,51241,0.500598,5407.985846,5408.008254,1, 0, 0, 1,-9.242629,-1.726862,6.962977,-1,2
68508,51242,0.568551,5408.053799,5408.076207,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68508,51243,0.640365,5408.125614,5408.148021,1, 0, 0, 1,3.929142,-0.118876,0.116573,-1,2
68508,51244,0.827126,5408.312374,5408.334782,1, 0, 0, 1,3.095206,2.610538,-14.735056,-1,2
68508,51245,0.831154,5408.316402,5408.338810,1, 0, 0, 1,6.697032,4.411527,10.928385,-1,2
68508,51246,0.955144,5408.440391,5408.462800,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68508,51247,0.992424,5408.477672,5408.500081,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,0
68508,51248,1.143079,5408.628326,5408.650735,1, 0, 0, 1,7.625906,-1.225101,9.684502,-1,2
68508,51249,1.172458,5408.657705,5408.680114,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
68508,51250,1.357947,5408.843194,5408.865603,0, 0, 0, 0,-99.000000,-99.000000,-99.000000,-1,1
