#window	freq	power	unixtime start	 runtime start	stop	duration	Trig	Read	Pass	MVA
0	28.2353		9	1699715343.709401	47437.7	47445.7	7.96	91	91	1	1
1	28.235305	9	1699715351.684697	47445.7	47453.7	7.99	73	73	0	0
2	28.23531	9	1699715359.680418	47453.7	47461.7	7.99	82	82	2	1
3	28.235315	9	1699715367.680461	47461.7	47469.7	7.99	71	71	0	0
4	28.23532	9	1699715375.680526	47469.7	47477.7	7.99	85	85	3	1
5	28.235325	9	1699715383.680631	47477.7	47485.7	7.99	88	88	1	1
6	28.23533	9	1699715391.680679	47485.7	47493.7	7.99	74	74	0	0
7	28.235335	9	1699715399.680996	47493.7	47501.7	7.99	72	72	2	1
8	28.23534	9	1699715407.680715	47501.7	47509.7	7.99	86	86	1	1
9	28.235345	9	1699715415.680742	47509.7	47517.7	7.99	95	95	0	0
10	28.23535	9	1699715423.680786	47517.7	47525.7	7.99	81	81	0	0
11	28.235355	9	1699715431.681224	47525.7	47533.7	7.99	80	80	0	0
12	28.23536	9	1699715439.680895	47533.7	47541.7	7.99	85	85	0	0
13	28.235365	9	1699715447.680950	47541.7	47549.7	7.99	75	75	0	0
14	28.23537	9	1699715455.680970	47549.7	47557.7	7.99	80	80	0	0
15	28.235375	9	1699715463.681016	47557.7	47565.7	7.99	93	93	4	2
16	28.23538	9	1699715471.681145	47565.7	47573.7	7.99	64	64	0	0
17	28.235385	9	1699715479.681682	47573.7	47581.7	7.99	91	92	1	0
18	28.23539	9	1699715487.681233	47581.7	47589.7	7.99	87	88	1	1
19	28.235395	9	1699715495.681241	47589.7	47597.7	7.99	72	73	0	0
20	28.2354		9	1699715503.681544	47597.7	47605.7	7.99	84	85	1	1
21	28.235405	9	1699715511.681286	47605.7	47613.7	8	81	81	1	1
22	28.23541	9	1699715519.689066	47613.7	47621.7	7.98	74	74	4	1
23	28.235415	9	1699715527.681377	47621.7	47629.7	7.99	71	71	0	0
24	28.23542	9	1699715535.681444	47629.7	47637.7	7.99	90	90	1	1
25	28.235425	9	1699715543.681819	47637.7	47645.7	7.99	76	75	1	0
26	28.23543	9	1699715551.681561	47645.7	47653.7	7.99	77	77	3	2
27	28.235435	9	1699715559.681700	47653.7	47661.7	7.99	73	73	1	1
28	28.23544	9	1699715567.681618	47661.7	47669.7	7.99	91	92	0	0
29	28.235445	9	1699715575.681659	47669.7	47677.7	7.99	84	84	1	0
30	28.23545	9	1699715583.681702	47677.7	47685.7	7.99	68	68	0	0
31	28.235455	9	1699715591.681749	47685.7	47693.7	7.99	71	71	4	1
32	28.23546	9	1699715599.682323	47693.7	47701.7	7.99	90	90	4	1
33	28.235465	9	1699715607.681863	47701.7	47709.7	7.99	68	68	3	2
34	28.23547	9	1699715615.682871	47709.7	47717.7	7.99	66	66	3	0
35	28.235475	9	1699715623.681999	47717.7	47725.7	7.99	78	78	3	1
36	28.23548	9	1699715631.682024	47725.7	47733.7	7.99	99	99	10	5
37	28.235485	9	1699715639.682012	47733.7	47741.7	7.99	105	105	27	6
38	28.23549	9	1699715647.682081	47741.7	47749.7	7.99	101	101	17	8
39	28.235495	9	1699715655.682501	47749.7	47757.7	7.99	144	144	40	27
40	28.2355		9	1699715663.682167	47757.7	47765.7	7.99	151	152	51	19
41	28.235505	9	1699715671.682213	47765.7	47773.7	7.99	217	218	78	45
42	28.23551	9	1699715679.682250	47773.7	47781.7	7.99	282	283	150	81
43	28.235515	9	1699715687.682354	47781.7	47789.7	7.99	429	430	230	111
44	28.23552	9	1699715695.682362	47789.7	47797.7	7.99	458	459	272	146
45	28.235525	9	1699715703.682738	47797.7	47805.7	7.99	447	452	254	140
46	28.23553	9	1699715711.682473	47805.7	47813.7	7.99	454	454	268	143
47	28.235535	9	1699715719.682873	47813.7	47821.7	7.99	440	441	245	128
48	28.23554	9	1699715727.682585	47821.7	47829.7	7.99	432	433	248	133
49	28.235545	9	1699715735.682666	47829.7	47837.7	7.99	441	444	246	145
50	28.23555	9	1699715743.682618	47837.7	47845.7	7.99	359	361	190	97
51	28.235555	9	1699715751.682721	47845.7	47853.7	7.99	379	379	206	109
52	28.23556	9	1699715759.682737	47853.7	47861.7	7.99	314	314	170	88
53	28.235565	9	1699715767.682773	47861.7	47869.7	7.99	291	292	143	83
54	28.23557	9	1699715775.682842	47869.7	47877.7	7.99	268	269	132	78
55	28.235575	9	1699715783.682879	47877.7	47885.7	7.99	223	225	102	60
56	28.23558	9	1699715791.683270	47885.7	47893.7	7.99	173	175	74	39
57	28.235585	9	1699715799.684238	47893.7	47901.7	7.99	198	198	73	42
58	28.23559	9	1699715807.683004	47901.7	47909.7	7.99	161	163	58	30
59	28.235595	9	1699715815.683097	47909.7	47917.7	7.99	153	154	53	30
60	28.2356		9	1699715823.692465	47917.7	47925.7	7.98	124	124	23	7
61	28.235605	9	1699715831.683148	47925.7	47933.7	7.99	124	124	33	16
62	28.23561	9	1699715839.683219	47933.7	47941.7	7.99	127	127	24	10
63	28.235615	9	1699715847.683238	47941.7	47949.7	8	98	98	21	8
